,ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,im_n_incr_cash_equ
0,000591.SZ,20190427,20190427,20190331,1,1,,,255916497.62,6912611.9,,,,,,,,,,,,46821963.27,309651072.79,93520636.3,68647159.12,59671151.78,,,,,,47170048.86,269008996.06,40642076.73,,643000000.0,2647599.93,,,645647599.93,331845603.36,180000000.0,201120480.17,,,712966083.53,-67318483.6,2167544352.0,,130000000.0,2297544352.0,-1161920581.86,1330082108.11,195166067.9,,950049372.79,2475297548.8,-177753196.8,4446.64,-204425157.03,975368492.44,770943335.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,000591.SZ,20190329,20190329,20181231,1,1,855386346.77,773149192.28,3050392711.55,29215418.94,,,,,,,,,,,,110439727.67,3190047858.16,680832330.56,292788440.09,167843576.45,,,,,,222918445.14,1364382792.24,1825665065.92,,3810800000.0,17930461.47,991552.34,,3829722013.81,1431988576.35,3369154100.0,250932454.47,30000000.0,,5082075130.82,-1252353117.01,3794869148.68,,5200000.0,3800069148.68,395632001.7587,2710460374.74,943491488.3,1130499.83,475971488.26,4129923351.3,-329854202.62,-593476.1,242864270.19,732504222.25,975368492.44,,,,77942149.22,977092632.05,12978314.56,25634106.87,,,160609.76,144658.65,,-16706095.7,-6965450.52,,43327363.89,-1792148647.73,875669885.82,,1825665065.92,,,,975368492.44,732504222.25,,,242864270.19
2,000591.SZ,20181027,20181027,20180930,1,1,,,1650993213.58,21141669.03,,,,,,,,,,,,44277325.66,1716412208.27,447950230.46,210858826.54,114032841.76,,,,,,223023803.74,995865702.5,720546505.77,,3264800000.0,14892870.55,991552.34,,3280684422.89,588019866.4,2619154100.0,153509094.68,30000000.0,,3390683061.08,-109998638.19,2662932518.68,,5200000.0,2668132518.68,-682870936.8927,2022578458.48,751454015.71,1130499.83,279028397.36,3053060871.55,-384928352.87,-166542.32,225452972.39,732504222.25,957957194.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,000591.SZ,20180828,20180828,20180630,1,1,438927831.2,368190875.74,872296079.59,18402020.41,,,,,,,,,,,,33591532.25,924289632.25,338067011.82,151489947.19,79665107.49,,,,,,112046453.98,681268520.48,243021111.77,,2914800000.0,12416658.91,991552.34,,2928208211.25,372101584.17,2296000000.0,24908174.87,,,2693009759.04,235198452.21,1534885600.0,,5200000.0,1540085600.0,299104391.7769,1238832794.37,567878662.71,1130499.83,197504317.46,2004215774.54,-464130174.54,-227219.51,13862169.93,732504222.25,746366392.18,,,,22655016.32,474864305.37,6423659.58,8386932.91,,,223377.24,2531.88,,-11713829.16,-3078071.27,,-59417646.94,-1071713695.63,69269824.53,,243021111.77,,,,746366392.18,732504222.25,,,13862169.93
4,000591.SZ,20180427,20180427,20180331,1,1,,,375999904.87,2724986.49,,,,,,,,,,,,20593700.13,399318591.49,195398470.27,88798931.95,26793131.82,,,,,,50934281.91,361924815.95,37393775.54,0.0,1769800000.0,7844144.99,983375.7,,1778627520.69,221332082.5,1140000000.0,37022600.0,,,1398354682.5,380272838.19,768160000.0,,,768160000.0,-568767875.0374,697150664.11,194065820.19,,100765781.21,991982265.51,-223822265.51,-468548.03,193375800.19,732504222.25,925880022.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,000591.SZ,20180330,20180330,20171231,1,1,810626696.37,685129357.12,3806680667.71,1814423.26,,,,,,,,,,,,201835039.98,4010330130.95,1485024816.48,273228993.91,187121617.0,,,,,,398727555.52,2344102982.91,1666227148.04,22014598.0,7682000000.0,45290469.07,186400.0,,7749491467.07,2749222396.58,6726250000.0,300803137.11,6006000.0,,9782281533.69,-2032790066.62,2665655610.0,,17021000.0,2682676610.0,-527873239.7992,1858098613.63,745812651.45,1870000.0,247258355.75,2851169620.83,-168493010.83,-573174.38,-535629103.79,1268133326.04,732504222.25,0.0,0.0,,79101483.73,855161425.34,12608642.48,15005291.14,,,-18954.61,15745.61,,-42413008.54,-2614272.57,,88606545.58,-679150324.43,-155831479.18,,1666227148.04,,,,732504222.25,1268133326.04,,,-535629103.79
6,000591.SZ,20171025,20171025,20170930,1,1,,,2402436934.01,2301384.59,,,,,,,,,,,,164061041.14,2568799359.74,1164574253.62,187038256.75,141186778.47,,,,,,241447076.78,1734246365.62,834552994.12,,6128000000.0,37205797.94,186400.0,,6165392197.94,1693214755.95,5491250000.0,220432976.11,6000000.0,,7410897732.06,-1245505534.12,2172298625.0,,12041633.64,2184340258.64,-856960687.4741,1176182483.26,568386977.43,1870000.0,190157506.84,1934726967.53,249613291.11,-490986.01,-161830234.9,1268133326.04,1106303091.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,000591.SZ,20170824,20170824,20170630,1,1,397260843.04,324784415.78,1402541127.7,2167058.19,,,,,,,,,,,,121258520.37,1525966706.26,859463169.67,123935638.72,91528988.38,,,,,,168317478.39,1243245275.16,282721431.1,6086198.0,4588000000.0,28426174.86,116400.0,,4622628772.86,1015274522.63,4080000000.0,162841968.62,,,5258116491.25,-635487718.39,1332553500.0,,8021000.0,1340574500.0,1083547309.1104,768433449.26,393291925.18,1870000.0,124581330.38,1286306704.82,54267795.18,-35578.22,-298534070.33,1268133326.04,969599255.71,,,,9995116.86,416167475.33,6252999.93,6242847.18,,,82902.74,,,-26281297.04,-1463263.44,,-18080052.09,-775550661.32,-56689895.87,,282721431.1,,,,969599255.71,1268133326.04,,,-298534070.33
8,000591.SZ,20170824,20170824,20170630,1,1,397260843.04,324784415.78,1402541127.7,2167058.19,,,,,,,,,,,,121258520.37,1525966706.26,859463169.67,123935638.72,91528988.38,,,,,,168317478.39,1243245275.16,282721431.1,6086198.0,4588000000.0,28426174.86,116400.0,,4622628772.86,1015274522.63,4080000000.0,162841968.62,,,5258116491.25,-635487718.39,1332553500.0,,8021000.0,1340574500.0,201348033.0803,768433449.26,393291925.18,1870000.0,124581330.38,1286306704.82,54267795.18,-35578.22,-298534070.33,1268133326.04,969599255.71,,,,9995116.86,416167475.33,6252999.93,6242847.18,,,82902.74,,,-26281297.04,-1463263.44,,-18080052.09,-775550661.32,-56689895.87,,282721431.1,,,,969599255.71,1268133326.04,,,-298534070.33
9,000591.SZ,20170422,20170422,20170331,1,1,,,343452074.23,573393.62,,,,,,,,,,,,51493598.47,395519066.32,211825782.09,60698049.97,46392708.37,,,,,,87279237.84,406195778.27,-10676711.95,21813661.64,2225000000.0,14442516.02,,,2261256177.66,540505283.2,2059700000.0,,,,2600205283.2,-338949105.54,399660000.0,,465000.0,400125000.0,-815134530.5712,128976834.0,149173369.78,,66387838.96,344538042.74,55586957.26,-9497.96,-294048358.19,1268133326.04,974084967.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
