,ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,im_n_incr_cash_equ
0,002134.SZ,20190413,20190413,20190331,1,1,,,88468902.71,2842405.34,,,,,,,,,,,,490175.66,91801483.71,63013819.6,25210123.38,841610.91,,,,,,4645509.61,93711063.5,-1909579.79,,,280684.94,,,280684.94,5228610.0,,,,,5228610.0,-4947925.06,,,,,,,271875.0,,,271875.0,-271875.0,-627712.45,-7757092.3,71508178.34,63751086.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,002134.SZ,20190413,20190413,20181231,1,1,-59259233.85,1141818.88,426564809.64,15597214.98,,,,,,,,,,,,3311285.87,445473310.49,305527106.09,100374490.65,4735722.36,,,,,,24143918.04,434781237.14,10692073.35,,41000000.0,1886051.45,,,42886051.45,6318624.0,,,,,6318624.0,36567427.45,,,,,46715381.58,,1102604.17,,,1102604.17,-1102604.17,-39214.74,46117681.89,25390496.45,71508178.34,,,,31636915.28,33410570.49,260619.51,,,,-22483.68,1939357.9,,-1884386.53,88865.35,,-6841407.26,-1784981.76,13352506.55,-1346087.53,10692073.35,,,,71508178.34,25390496.45,,,46117681.89
2,002134.SZ,20181030,20181030,20180930,1,1,,,313609804.33,12012424.05,,,,,,,,,,,,3144713.45,328766941.83,224755151.76,73285755.25,4503750.17,,,,,,16277730.02,318822387.2,9944554.63,,,1313500.79,6400.0,,1319900.79,6102358.25,11000000.0,,,,17102358.25,-15782457.46,,,,,-31490306.94,,827708.34,,,827708.34,-827708.34,28102.94,-6637508.23,25390496.45,18752988.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,002134.SZ,20180818,20180818,20180630,1,1,-8806389.32,630435.9,207980259.54,9246054.2,,,,,,,,,,,,2556069.68,219782383.42,143760090.89,47544195.39,3292672.8,,,,,,12107154.65,206704113.73,13078269.69,,,893365.18,4000.0,,897365.18,5166162.27,20000000.0,,,,25166162.27,-24268797.09,,,,,-12075762.13,,549791.67,,,549791.67,-549791.67,-356893.17,-12097212.24,25390496.45,13293284.21,,,,390332.06,16688629.58,119050.26,,,,-1811.98,,,-932788.22,28521.75,,9834357.19,-4499005.69,-373061.84,,13078269.69,,,,13293284.21,25390496.45,,,-12097212.24
4,002134.SZ,20180428,20180428,20180331,1,1,,,112046263.17,4827864.82,,,,,,,,,,,,1017993.53,117892121.52,74950883.51,23388458.24,1031928.1,,,,,,7032064.63,106403334.48,11488787.04,,,440649.28,,,440649.28,4187212.27,8000000.0,,,,12187212.27,-11746562.99,,,,,-5695512.23,,271875.0,,,271875.0,-271875.0,-546297.73,-1075948.68,25390496.45,24314547.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,002134.SZ,20180428,20180428,20180331,1,1,,,112046263.17,4827864.82,,,,,,,,,,,,1017993.53,117892121.52,74950883.51,23388458.24,1031928.1,,,,,,7032064.63,106403334.48,11488787.04,,,440649.28,,,440649.28,4187212.27,8000000.0,,,,12187212.27,-11746562.99,,,,,,,271875.0,,,271875.0,-271875.0,-546297.73,-1075948.68,25390496.45,24314547.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,002134.SZ,20180331,20180331,20171231,1,1,14190692.61,1527364.37,418989751.86,17235162.09,,,,,,,,,,,,3647281.69,439872195.64,287970629.44,99184760.76,5974173.25,,,,,,23061578.88,416191142.33,23681053.31,,,538381.79,7803329.08,,8341710.87,9124513.64,41000000.0,,,,50124513.64,-41782802.77,25000000.0,,,25000000.0,-25474700.8241,,462187.5,,,462187.5,24537812.5,-1034968.55,5401094.49,19989401.96,25390496.45,,,,-38362604.16,38326069.79,252950.52,70412.29,,,-7208341.2,,,-53575.77,1362101.4,,36791239.17,4381592.9,-25266168.47,-2330680.14,23681053.31,,,,25390496.45,19989401.96,,,5401094.49
7,002134.SZ,20171028,20171028,20170930,1,1,,,295245858.03,14562419.77,,,,,,,,,,,,1480379.3,311288657.1,207151982.87,72795922.51,5052331.86,,,,,,18354510.91,303354748.15,7933908.95,,,,9000.0,,9000.0,5258865.9,,,,,5258865.9,-5249865.9,25000000.0,,,25000000.0,-30691206.79,,187291.67,,,187291.67,24812708.33,1625478.2,29122229.58,19989401.96,49111631.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,002134.SZ,20170731,20170731,20170630,1,1,-8104751.77,-90727.37,181504901.08,10265621.07,,,,,,,,,,,,856893.57,192627415.72,118938565.49,47989775.4,3274341.51,,,,,,10089829.76,180292512.16,12334903.56,,,,9000.0,,9000.0,1832783.93,,,,,1832783.93,-1823783.93,,,,,,,,,,,,-206867.14,10304252.49,19989401.96,30293654.45,,,,-2907065.12,19231905.32,128068.26,1013.16,,,,,,164479.47,547383.45,,7740965.48,85688.39,-4462055.71,,12334903.56,,,,30293654.45,19989401.96,,,10304252.49
9,002134.SZ,20170428,20170428,20170331,1,1,,,98907024.09,5157453.35,,,,,,,,,,,,236361.46,104300838.9,55999584.86,23578906.6,1260146.52,,,,,,5109260.02,85947898.0,18352940.9,,,,,,,546339.29,,,,,546339.29,-546339.29,,,,,-8990926.83,,,,,,,-149134.0,17657467.61,19989401.96,37646869.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,002134.SZ,20170428,20170428,20161231,1,1,-98866775.87,-199296.32,398578671.09,16611341.3,,,,,,,,,,,,2702013.83,417892026.22,275675426.24,102208822.84,6030423.13,,,,,,48779440.44,432694112.65,-14802086.43,,,439654.75,558.0,,440212.75,10373142.24,6333000.0,,,,16706142.24,-16265929.49,,,,,8238504.44,20578352.11,186138.67,,,20764490.78,-20764490.78,307360.81,-51525145.89,71514547.85,19989401.96,,,,37712885.62,42496320.26,578428.4,2026.32,,,8654.44,,,-556272.16,-379501.08,,1943228.11,2984470.02,2011772.82,-2538026.99,-14802086.43,,,,19989401.96,71514547.85,,,-51525145.89
11,002134.SZ,20161028,20161028,20160930,1,1,,,282420330.59,11866574.45,,,,,,,,,,,,4834337.74,299121242.78,208451760.97,74523561.53,4964494.49,,,,,,8731100.17,296670917.16,2450325.62,,,,,,,11689826.92,,,,,11689826.92,-11689826.92,,,,,-40058869.61,20608785.57,186530.64,,,20795316.21,-20795316.21,461573.71,-29573243.8,71514547.85,41941304.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,002134.SZ,20160826,20160826,20160630,1,1,-28491608.38,-2097467.4,179891912.69,7652538.93,,,,,,,,,,,,2764899.95,190309351.57,120476179.7,48694862.78,3406728.7,,,,,,6934195.39,179511966.57,10797385.0,,,,,,,5029826.92,,,,,5029826.92,-5029826.92,,,,,-1656316.17,20608785.57,186530.64,,,20795316.21,-20795316.21,380215.16,-14647542.97,71514547.85,56867004.88,,,,1144804.21,22874235.86,289214.28,1013.16,,,,,,-39882.31,-1331.85,,20394227.23,12168065.18,-15443884.98,,10797385.0,,,,56867004.88,71514547.85,,,-14647542.97
13,002134.SZ,20160430,20160430,20160331,1,1,,,85800814.3,1793269.98,,,,,,,,,,,,2205421.77,89799506.05,56624522.83,24011303.46,2022534.78,,,,,,4839163.98,87497525.05,2301981.0,,,,,,,,,,,,,,,,,,-11552531.89,20608785.57,186530.64,,,20795316.21,-20795316.21,5138.22,-18488196.99,95916045.43,77427848.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,002134.SZ,20160331,20160331,20151231,1,1,-48299990.2,1520008.3,428547703.06,15219443.55,,,,,,,,,,,,4071668.06,447838814.67,256036617.13,114902270.86,6184045.82,,,,,,23201343.26,400324277.07,47514537.6,,,565210.92,,,565210.92,13192814.59,,,,,13192814.59,-12627603.67,20229682.12,,,20229682.12,-7306391.43,29429207.63,1458518.87,,,30887726.5,-10658044.38,338454.17,24567343.72,46947204.13,71514547.85,,,,3874389.95,49831478.96,632537.06,2026.32,,,,,,-590572.11,-299325.36,,1413890.29,52609100.83,-13179006.44,,47514537.6,,,,71514547.85,46947204.13,,,24567343.72
15,002134.SZ,20151028,20151028,20150930,1,1,,,337273945.5,13191228.08,,,,,,,,,,,,4273549.16,354738722.74,235476804.72,88792745.07,3863632.23,,,,,,19407347.37,347540529.39,7198193.35,,,,,,,8648170.89,,,,,8648170.89,-8648170.89,63694844.13,,,63694844.13,-44508941.69,34926468.58,1017401.64,,,35943870.22,27750973.91,1905670.59,28206666.96,46947204.13,75153871.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,002134.SZ,20150826,20150826,20150630,1,1,-19161767.87,-888176.65,219581205.58,9498566.85,,,,,,,,,,,,2729402.22,231809174.65,151208281.24,59610041.09,2902311.01,,,,,,12382980.14,226103613.48,5705561.17,,,,,,,3704975.52,,,,,3704975.52,-3704975.52,34944183.11,,,34944183.11,-2292941.38,31301501.09,708170.79,,,32009671.88,2934511.23,1069018.7,6004115.58,46947204.13,52951319.71,,,,1217075.23,25010659.21,318844.26,1013.16,,,,,,-12301.87,-103817.52,,4303329.04,17298534.95,-22277830.77,,5705561.17,,,,52951319.71,46947204.13,,,6004115.58
17,002134.SZ,20150429,20150429,20150331,1,1,,,128472674.88,6392337.63,,,,,,,,,,,,12965177.27,147830189.78,98597389.04,19954064.58,4209623.32,,,,,,2569368.61,125330445.55,22499744.23,,,0.0,,,0.0,1141053.21,,,,,1141053.21,-1141053.21,20369582.52,,,20369582.52,-11629910.57,16163901.66,265332.22,,,16429233.88,3940348.64,261059.77,25560099.43,53546628.69,79106728.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,002134.SZ,20150402,20150402,20141231,1,1,9626245.34,2228009.62,490159019.69,10267342.65,,,,,,,,,,,,6846705.23,507273067.57,344770198.87,128249001.43,11635521.63,,,,,,20396109.08,505050831.01,2222236.56,,,,31389278.76,,31389278.76,13909334.31,,,,,13909334.31,17479944.45,82620449.14,,,82620449.14,2011433.891,106497007.62,2675553.72,,,109172561.34,-26552112.2,250506.63,-6599424.56,53546628.69,46947204.13,,,,158348.89,52628680.63,651902.27,2026.32,,,-26698271.24,,,128235.97,223602.78,,-2422716.9,-14657940.77,-19645886.35,,2222236.56,,,,46947204.13,53546628.69,,,-6599424.56
19,002134.SZ,20141030,20141030,20140930,1,1,,,267268411.87,7925297.98,,,,,,,,,,,,5548599.43,280742309.28,171210737.66,94687846.34,6153408.3,,,,,,13759632.31,285811624.61,-5069315.33,,,,26698271.24,,26698271.24,7427433.21,,,,,7427433.21,19270838.03,70698133.25,,,70698133.25,-35515042.05,102741080.52,2231543.06,,,104972623.58,-34274490.33,4416680.39,-15656287.24,53546628.69,37890341.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,002134.SZ,20140828,20140828,20140630,1,1,14060083.87,-1283516.19,212970966.23,6935349.33,,,,,,,,,,,,2307128.44,222213444.0,169821793.13,60481553.08,4858987.97,,,,,,8223976.19,243386310.37,-21172866.37,,,,26698271.24,,26698271.24,1717972.36,,,,,1717972.36,24980298.88,70679887.92,,,70679887.92,-2163601.25,75439707.92,1456624.16,,,76896332.08,-6216444.16,4541312.2,2132300.55,53546628.69,55678929.24,,,,349729.34,19426475.15,841668.19,1013.16,,,-26698271.24,,,149562.34,-39955.56,,11265676.97,-29797702.93,-9447629.47,,-21172866.37,,,,55678929.24,53546628.69,,,2132300.55
21,002134.SZ,20140429,20140429,20140331,1,1,,,79904652.28,4449311.22,,,,,,,,,,,,221439.72,84575403.22,54432694.3,28484430.03,1234787.84,,,,,,4756050.72,88907962.89,-4332559.67,,,,,,,2513934.37,,,,,2513934.37,-2513934.37,40462075.18,,,40462075.18,-13918075.4413,32479875.71,593133.94,,,33073009.65,7389065.53,3958960.89,4501532.38,53546628.69,58048161.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,002134.SZ,20140411,20140411,20131231,1,1,-48440420.03,3726973.09,471270051.44,19303351.52,,,,,,,,,,,,6093635.47,496667038.43,291139753.68,117234850.53,5878151.01,,,,,,21244809.19,435497564.41,61169474.02,13512818.27,,,60000.0,,13572818.27,31897163.23,520000.0,,,,32417163.23,-18844344.96,85484119.44,,,85484119.44,5011364.7784,97603542.89,4042366.17,,,101645909.06,-16161789.62,-247226.57,25916112.87,27630515.82,53546628.69,,,,-5207606.78,56233811.55,736012.32,62026.32,,,1950512.95,,,272094.17,888624.48,,3430272.99,-2312818.56,52829991.52,-3000000.0,61169474.02,,,,53546628.69,27630515.82,,,25916112.87
23,002134.SZ,20131026,20131026,20130930,1,1,,,325885691.85,8176336.85,,,,,,,,,,,,1290322.53,335352351.23,192570084.01,86061050.79,2935538.53,,,,,,18996875.35,300563548.68,34788802.55,3000000.0,,,,,3000000.0,23191873.42,3337589.59,,182410.41,,26711873.42,-23711873.42,75095347.8,,,75095347.8,-11224828.51,86281871.27,3264179.04,,,89546050.31,-14450702.51,-1551001.85,-4924775.23,27372050.06,22447274.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,002134.SZ,20130828,20130828,20130630,1,1,-26935503.75,2763312.43,199746233.11,9799218.65,,,,,,,,,,,,347308.98,209892760.74,116239911.85,53698969.59,3711987.81,,,,,,13298169.71,186949038.96,22943721.78,,,,,,,15512333.69,520000.0,,,,16032333.69,-16032333.69,61309357.71,,,61309357.71,7519497.04,74136083.01,1012821.75,,,75148904.76,-13839547.05,-1196698.29,-8124857.25,27888981.58,19764124.33,,,,1509018.43,28116864.13,382610.78,61013.16,,,,,,,-124325.54,,5867912.52,-9484203.95,20741455.35,45568.22,22943721.78,,,,19505658.57,27630515.82,,,-8124857.25
25,002134.SZ,20130426,20130426,20130331,1,1,,,109353630.24,2814193.69,,,,,,,,,,,,72703.3,112240527.23,57316513.68,25589293.54,1042366.18,,,,,,12027429.43,95975602.83,16264924.4,,,,,,,8273613.46,,,,,8273613.46,-8273613.46,28305802.18,,,28305802.18,-19057908.51,28153752.18,542296.27,,,28696048.45,-390246.27,-476125.32,7124939.35,27630515.82,34755455.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,002134.SZ,20130411,20130411,20121231,1,1,-89036502.46,3265986.24,389825671.41,16274115.79,,,,,,,,,,,,1662997.76,407762784.96,327141584.49,107026996.76,3681331.7,,,,,,24758863.1,462608776.05,-54845991.09,,4560000.0,,710000.0,,5270000.0,16122590.3,,,,,16122590.3,-10852590.3,81869448.63,,800000.0,82669448.63,26967187.5659,64797363.81,2160782.34,,,66958146.15,15711302.48,-374090.16,-50361369.07,77991884.89,27630515.82,,,,970819.48,59325490.7,794069.69,122026.32,,,-418130.0,,,-76870.16,1984494.49,,-29814041.9,-22117372.11,20154038.62,,-54845991.09,,,,27630515.82,77991884.89,,,-50361369.07
27,002134.SZ,20121027,20121027,20120930,1,1,,,336001003.42,14472973.24,,,,,,,,,,,,14841490.54,365315467.2,282039304.03,78998134.98,3262151.13,,,,,,27568195.78,391867785.92,-26552318.72,,,,,,0.0,14565522.87,,,,,14565522.87,-14565522.87,58849512.75,,,58849512.75,-49571030.1,64535729.6,1943952.94,,144690.62,66624373.16,-7774860.41,284014.22,-48608687.78,77991884.89,29383197.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,002134.SZ,20120822,20120822,20120630,1,1,-28683247.42,1412784.94,204831727.69,4699116.71,,,,,,,,,,,,10130747.11,219661591.51,165558447.91,50921400.8,2404318.23,,,,,,17741856.7,236626023.64,-16964432.13,,,,,,0.0,12063327.97,,,,,12063327.97,-12063327.97,27374520.91,,,27374520.91,-4943726.2,56454761.7,1510884.23,,93380.84,58059026.77,-30684505.86,176869.63,-59535396.33,77991884.89,18456488.56,,,,918368.74,29569877.0,248540.9,61013.16,,,,,,,,,-33014962.83,-8937572.96,22811412.29,,-16964432.13,,,,18456488.56,77991884.89,,,-59535396.33
29,002134.SZ,20120426,20120426,20120331,1,1,,,94883212.38,3642213.96,,,,,,,,,,,,2584311.93,101109738.27,100101640.48,18306001.31,1074676.61,,,,,,-20675385.88,98806932.52,2302805.75,,,,,,,35025181.15,,,,,35025181.15,-35025181.15,11739524.75,,,11739524.75,-46054576.9,13649185.38,442678.16,,65551.55,14157415.09,-2417890.34,153335.0,-34986930.74,77991884.89,43004954.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,002134.SZ,20120411,20120411,20111231,1,1,2554065.03,2293153.48,509141661.16,19849132.2,,,,,,,,,,,,9921333.12,538912126.48,353009210.19,92588097.94,12925047.73,,,,,,21484242.01,480006597.87,58905528.61,,,,170052.31,,170052.31,78442108.37,4560000.0,,,,83002108.37,-82832056.06,68075004.85,,,68075004.85,-33690806.15,36580595.53,1853112.26,,,38433707.79,29641297.06,-307320.27,5407449.34,72584435.55,77991884.89,,,,-3139024.56,58157843.91,516848.54,122026.32,,,-49329.06,,,76870.16,784298.7,,-43398551.92,55969584.95,-14982256.94,,58905528.61,,,,77991884.89,72584435.55,,,5407449.34
31,002134.SZ,20111027,20111027,20110930,1,1,,,439071586.38,11979355.55,,,,,,,,,,,,2903294.38,453954236.31,340551338.91,68726698.89,2163128.89,,,,,,17293086.68,428734253.37,25219982.94,,,,159602.31,,159602.31,62236682.91,4560000.0,,,,66796682.91,-66637080.6,44323924.76,,,44323924.76,-101321707.8795,24562778.75,1224697.48,,128594.44,25916070.67,18407854.09,-453999.4,-23463242.97,72584435.55,49121192.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,002134.SZ,20111027,20111027,20110930,1,1,,,439071586.38,11979355.55,,,,,,,,,,,,2903294.38,453954236.31,340551338.91,68726698.89,2163128.89,,,,,,17293086.68,428734253.37,25219982.94,,,,159602.31,,159602.31,62236682.91,4560000.0,,,,66796682.91,-66637080.6,44323924.76,,,44323924.76,-60519232.9985,24562778.75,1224697.48,,128594.44,25916070.67,18407854.09,-453999.4,-23463242.97,72584435.55,49121192.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,002134.SZ,20110817,20110817,20110630,1,1,1415100.13,760270.63,300771581.79,9600841.37,,,,,,,,,,,,2596132.73,312968555.89,213485803.39,43750123.19,1612202.03,,,,,,11365054.82,270213183.43,42755372.46,,,,159602.31,,159602.31,44752335.7,4560000.0,,,,49312335.7,-49152733.39,35565938.41,,,35565938.41,-6263480.6061,17136000.0,666485.94,,38300.04,17840785.98,17725152.43,-217987.29,11109804.21,72584435.55,83694239.76,,,,-2072216.19,28786373.78,261374.36,61013.16,-406097.38,,-49329.06,0.0,0.0,0.0,0.0,,-11057183.01,22231440.93,3488134.41,0.0,42755372.46,,,,83694239.76,72584435.55,,,11109804.21
34,002134.SZ,20110425,20110425,20110331,1,1,,,164034141.01,6323893.01,,,,,,,,,,,,1812077.94,172170111.96,129802429.16,22219990.99,404946.8,,,,,,4824722.18,157252089.13,14918022.83,,,,159602.31,,159602.31,19259760.67,,,,,19259760.67,-19100158.36,,,,,-20408398.2981,,269892.0,,,269892.0,-269892.0,26641.3,-4425386.23,72584435.55,68159049.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,002134.SZ,20110425,20110425,20110331,1,1,,,164034141.01,6323893.01,,,,,,,,,,,,1812077.94,172170111.96,129802429.16,22219990.99,404946.8,,,,,,4824722.18,157252089.13,14918022.83,,,,159602.31,,159602.31,19259760.67,,,,,19259760.67,-19100158.36,,,,,-37069644.765,,269892.0,,,269892.0,-269892.0,26641.3,-4425386.23,72584435.55,68159049.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,002134.SZ,20110407,20110407,20101231,1,1,-19424441.14,5058007.42,511913907.24,21631330.13,,,,,,,,,,,,1502726.43,535047963.8,393787313.04,88412191.99,17775031.01,,,,,,27817456.81,527791992.85,7255970.95,,,,94911.54,,94911.54,70644875.29,,-830406.1,,,69814469.19,-69719557.65,,,,,22233107.26,21000000.0,1574912.4,,,22574912.4,-22574912.4,-3626505.91,-88665005.01,161249440.56,72584435.55,,,,7598093.09,51714923.39,470800.02,122026.32,,,460264.11,,,,-3163370.4,,-22574809.27,-58359264.57,45353741.98,,7255970.95,,,,72584435.55,161249440.56,,,-88665005.01
37,002134.SZ,20101023,20101023,20100930,1,1,,,409715478.53,15309450.52,,,,,,,,,,,,1489880.23,426514809.28,348662064.55,63442158.93,1866668.26,,,,,,18149812.7,432120704.44,-5605895.16,,,,30000.0,,30000.0,46174677.52,1500000.0,,,,47674677.52,-47644677.52,,,,,-24608289.8,21000000.0,1325412.24,,,22325412.24,-22325412.24,-2555479.89,-78131464.81,161249440.56,83117975.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
