,ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,im_n_incr_cash_equ
0,600428.SH,20190430,20190430,20190331,1,1,,,1774532398.82,37335926.95,,,,,,,,,,,,19560659.07,1831428984.84,1199056772.91,385677942.86,12658700.24,,,,,,36511544.75,1633904960.76,197524024.08,,,,17567140.41,,17567140.41,401305740.78,,,,,401305740.78,-383738600.37,354717368.78,,,354717368.78,-673604695.3467,639498632.94,108122966.34,,2817176.96,750438776.24,-395721407.46,-25477479.15,-607413462.9,1030038759.22,422625296.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,600428.SH,20190329,20190329,20181231,1,1,86739974.27,344247398.01,7069843553.14,246566349.34,,,,,,,,,,,,83660500.01,7400070402.49,4870107441.24,1431094898.85,55828860.47,,,,,,147803358.81,6504834559.37,895235843.12,,,48388968.12,63744913.77,,112133881.89,1100891161.87,28900000.0,,,,1129791161.87,-1017657279.98,1157510000.0,,,1157510000.0,-569590335.5781,1056716193.94,335662928.09,,1185780.95,1393564902.98,-236054902.98,-3428346.54,-361904686.38,1391943445.6,1030038759.22,,,,212772052.18,899557799.48,7725883.88,10572526.48,,,17777908.48,42085.6,,-152080517.61,-7946422.98,21894596.43,-126620792.78,-336454986.59,-83073561.65,81899.92,895235843.12,,,,1030038759.22,1391943445.6,,,-361904686.38
2,600428.SH,20181026,20181026,20180930,1,1,,,4601916807.48,183498980.11,,,,,,,,,,,,86856333.83,4872272121.42,3584877865.82,982235483.75,36304275.38,,,,,,77063712.94,4680481337.89,191790783.53,,,28319862.01,10779555.74,,39099417.75,805980941.71,25000000.0,,,,830980941.71,-791881523.96,637510000.0,,,637510000.0,-1655190646.375,804647672.32,280340067.6,,849926.31,1085837666.23,-448327666.23,27723039.98,-1020695366.68,1391943445.6,371248078.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,600428.SH,20180830,20180830,20180630,1,1,59794828.54,149866451.3,2968370249.21,107994544.03,,,,,,,,,,,,29436551.78,3105801345.02,2160121604.89,725134300.35,26188477.07,,,,,,62259741.62,2973704123.93,132097221.09,,,,10487242.55,,10487242.55,468018398.21,,,,,468018398.21,-457531155.66,378340000.0,,,378340000.0,-491009051.5538,388766798.14,138929972.65,,512677.55,528209448.34,-149869448.34,-9813553.93,-485116936.84,1391943445.6,906826508.76,,,,3047607.59,437639942.8,5874205.42,5255027.73,,,-3031711.95,-13608.04,,-3781713.71,-13571251.67,17941276.97,-100859557.71,-592352721.75,166288445.57,,132097221.09,,,,906826508.76,1391943445.6,,,-485116936.84
4,600428.SH,20180428,20180428,20180331,1,1,,,1291959851.33,53466521.91,,,,,,,,,,,,17256852.53,1362683225.77,970277427.66,472573555.56,10459618.59,,,,,,44923242.78,1498233844.59,-135550618.82,,,,6005092.47,,6005092.47,358511673.95,,,,,358511673.95,-352506581.48,40000000.0,,,40000000.0,-1087381620.7105,250761787.78,88352711.55,0.0,283210.32,339397709.65,-299397709.65,-42505085.6,-829959995.55,1391943445.6,561983450.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,600428.SH,20180331,20180331,20171231,1,1,238869232.96,380333323.28,6728957617.37,215992118.74,,,,,,,,,,,,58059217.08,7003008953.19,4139386328.27,1265918670.73,61718693.32,,,,,,110210972.27,5577234664.59,1425774288.6,0.0,0.0,80403089.25,19463531.84,0.0,99866621.09,1469297504.29,0.0,0.0,0.0,,1469297504.29,-1369430883.2,2524197600.0,0.0,0.0,2524197600.0,72803249.7446,2084929451.34,256249473.59,9607778.89,59129017.57,2400307942.5,123889657.5,-121662325.98,58570736.92,1333372708.68,1391943445.6,0.0,,,-1431741.87,869915893.19,8700930.94,10607704.68,,,,33641960.64,,-42269968.99,13294404.99,55080539.69,-51777299.74,448908814.86,-538099506.03,,1425774288.6,,,,1391943445.6,1333372708.68,,,58570736.92
6,600428.SH,20171028,20171028,20170930,1,1,,,4909082309.24,164602129.88,,,,,,,,,,,,71178677.42,5144863116.54,3246022102.76,941295243.74,39755552.06,,,,,,93042565.65,4320115464.21,824747652.33,,,43801523.98,19672632.94,,63474156.92,991011342.15,,,,,991011342.15,-927537185.23,1265758600.0,,,1265758600.0,-1054316353.5721,1218832167.17,214690371.41,9264744.16,7938058.55,1441460597.13,-175701997.13,-95769930.83,-374261460.86,1333372708.68,959111247.82,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,600428.SH,20170831,20170831,20170630,1,1,72820371.99,181210082.67,3176391420.06,108018480.34,,,,,,,,,,,,33669324.21,3318079224.61,2108232564.68,653430359.48,33357280.91,,,,,,59615883.55,2854636088.62,463443135.99,,,7260169.98,19790035.91,,27050205.89,471860871.25,,,,,471860871.25,-444810665.36,914231600.0,,,914231600.0,-89811334.3439,679648208.39,126361936.04,9264744.16,3967739.63,809977884.06,104253715.94,-57132503.15,65753683.42,1333372708.68,1399126392.1,0.0,,,880013.31,430686882.6,3171376.64,3589633.14,,,33525931.43,,,-18601746.31,-1173229.25,-3596582.46,-8217405.87,-1290258493.16,1059406301.26,,463443135.99,,,,1399126392.1,1333372708.68,,,65753683.42
8,600428.SH,20170831,20170831,20170630,1,1,72820371.99,181210082.67,3176391420.06,108018480.34,,,,,,,,,,,,33669324.21,3318079224.61,2108232564.68,653430359.48,33357280.91,,,,,,59615883.55,2854636088.62,463443135.99,,,7260169.98,19790035.91,,27050205.89,471860871.25,,,,,471860871.25,-444810665.36,914231600.0,,,914231600.0,,679648208.39,126361936.04,9264744.16,3967739.63,809977884.06,104253715.94,-57132503.15,65753683.42,1333372708.68,1399126392.1,0.0,,,880013.31,430686882.6,3171376.64,3589633.14,,,33525931.43,,,-18601746.31,-1173229.25,-3596582.46,-8217405.87,-1290258493.16,1059406301.26,,463443135.99,,,,1399126392.1,1333372708.68,,,65753683.42
9,600428.SH,20170428,20170428,20170331,1,1,,,1624768063.04,50826926.08,,,,,,,,,,,,15387103.81,1690982092.93,1117632764.81,375749234.52,14743707.68,,,,,,51270125.28,1559395832.29,131586260.64,,,,6387.96,,6387.96,215223065.35,,,,,215223065.35,-215216677.39,249643600.0,,,249643600.0,-151108320.6589,507734560.31,86853228.89,9264744.16,3586835.5,598174624.7,-348531024.7,-36573236.5,-468734677.95,1333372708.68,864638030.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
