,ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,im_n_incr_cash_equ
0,000537.SZ,20190426,20190426,20190331,1,1,,,3988038551.65,,,,,,,,,,,,,198165333.03,4186203884.68,4612486992.33,105514893.49,790869509.56,,,,,,221142601.52,5730013996.9,-1543810112.22,,,,,,,19434462.19,49000000.0,,,,68434462.19,-68434462.19,2573769948.87,,,2573769948.87,-2411464114.6,642250000.0,135846870.44,,,778096870.44,1795673078.43,,183428504.02,2759281023.83,2942709527.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,000537.SZ,20190426,20190426,20181231,1,1,2502375865.78,224544803.09,25415112172.66,,,,,,,,,,,,,1084704508.74,26499816681.4,12474639936.23,518874220.77,4076619517.79,,,,,,3465127094.0,20535260768.79,5964555912.61,,,1291307.31,21760.0,,1313067.31,288469127.64,171500000.0,162046370.45,,,622015498.09,-620702430.78,9284462837.24,,,9284462837.24,2126501024.5555,13636950000.0,1399370318.78,,3588838535.51,18625158854.29,-9340696017.05,,-3996842535.22,6756123559.05,2759281023.83,,,,1915022285.31,258454074.86,3468071.64,3598623.02,,,,28382.19,,-1291307.31,-800990661.35,,2642122048.97,13934393.82,-796710667.41,,5964555912.61,,,,2759281023.83,6756123559.05,,,-3996842535.22
2,000537.SZ,20181031,20181031,20180930,1,1,,,17032743195.9,22674.81,,,,,,,,,,,,1182448657.93,18215214528.64,9342785857.1,300460873.92,3607732871.89,,,,,,1617203589.15,14868183192.06,3347031336.58,,,1291307.31,,,1291307.31,155056450.5,171500000.0,162046370.45,,,488602820.95,-487311513.64,8342894138.82,,,8342894138.82,206270659.6135,8885650000.0,1018840752.38,,3588838535.51,13493329287.89,-5150435149.07,,-2290715326.13,6756423559.05,4465708232.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,000537.SZ,20180726,20180726,20180630,1,1,1668919656.28,40710987.16,11090848376.68,,,,,,,,,,,,,2305313642.84,13396162019.52,6096601713.88,185545218.36,2657345828.11,,,,,,1123172921.24,10062665681.59,3333496337.93,,,,,,,147541850.96,,264946370.45,,,412488221.41,-412488221.41,3078584675.89,,,3078584675.89,2072985875.6935,4992850000.0,583312063.69,,,5576162063.69,-2497577387.8,,423430728.72,5255561494.06,5678992222.78,,,,-13507452.51,117781911.11,11478345.84,1785601.7,,,,,,,55091769.33,,223788261.02,-79181407.62,1306628665.62,,3333496337.93,,,,5678992222.78,5255561494.06,,,423430728.72
4,000537.SZ,20180427,20180427,20180331,1,1,,,5043360236.99,,,,,,,,,,,,,585610531.0,5628970767.99,4145857980.5,98166941.24,890289324.41,,,,,,897768016.22,6032082262.37,-403111494.38,,,,,,,93885560.0,,,23190.0,,93908750.0,-93908750.0,666704675.0,,,666704675.0,-953853071.7857,995250000.0,135722512.43,,,1130972512.43,-464267837.43,,-961288081.81,5862458659.0,4901170577.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,000537.SZ,20180321,20180321,20171231,1,1,2290160119.29,131662498.79,28146249294.7,,,,,,,,,,,,,7764871479.81,35911120774.51,14956529799.44,409995808.5,2854867835.64,,,,,,9662224909.39,27883618352.97,8027502421.54,,,1202207.11,104551657.71,,105753864.82,400959578.15,,,92825.0,,401052403.15,-295298538.33,6688373431.23,,379450.22,6688752881.45,-3211085530.6909,13425935628.35,1523560760.17,,237999400.0,15187495788.52,-8498742907.07,,-766539023.86,6022100517.92,5255561494.06,,,,-4784599.52,172848188.98,4052656.19,2070717.94,,,-36675120.76,92747.5,,-1202207.11,-663706282.31,-12332244.39,-3562623259.62,1255623082.04,8452316124.52,,8027502421.54,,,,5255561494.06,6022100517.92,,,-766539023.86
6,000537.SZ,20171031,20171031,20170930,1,1,,,6285124631.75,,,,,,,,,,,,,1011110366.67,7296234998.42,3846657628.97,72333235.21,514378218.29,,,,,,524133399.05,4957502481.52,2338732516.9,,,,10029885.71,,10029885.71,7742450.05,,,6000.0,,7748450.05,2281435.66,1077000000.0,,133598.18,1077133598.18,2091119871.3519,3105390000.0,380083446.0,,,3485473446.0,-2408339847.82,,-67325895.26,702339999.72,635014104.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,000537.SZ,20170808,20170808,20170630,1,1,45995165.63,10510934.29,3946661056.44,,,,,,,,,,,,,999460655.35,4946121711.79,2535809889.81,44556545.76,365534237.54,,,,,,520657769.28,3466558442.39,1479563269.4,,,,10029885.71,,10029885.71,5540630.05,,,,,5540630.05,4489255.66,523500000.0,,,523500000.0,893639783.3253,813000000.0,243105338.09,,96435.51,1056201773.6,-532701773.6,,951350751.46,702339999.72,1653690751.18,,,,-797597.41,453181.86,,69675.48,,,-2890277.88,,,2266936.18,-84029872.67,,-2151302744.74,859903455.75,2799384412.91,,1479563269.4,,,,1653690751.18,702339999.72,,,951350751.46
8,000537.SZ,20170428,20170428,20170331,1,1,,,1435166280.09,,,,,,,,,,,,,1083480229.79,2518646509.88,1065984650.43,20164947.48,194355184.21,,,,,,327922043.21,1608426825.33,910219684.55,,,,,,,,,,,,,,293500000.0,,,293500000.0,403775198.8503,404500000.0,127619986.03,,102215.24,532222201.27,-238722201.27,,671497483.28,702339999.72,1373837483.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,000537.SZ,20170428,20170428,20161231,1,1,537407777.98,390000.0,6132679179.0,,,,,,,,,,,,,5397165783.25,11529844962.25,10896628054.23,84894938.25,923135327.74,,,,,,6274526224.81,18179184545.03,-6649339582.78,0.0,,,18356723.29,,18356723.29,1982914.72,,,,,1982914.72,16373808.57,11053000000.0,,3483936.25,11056483936.25,-4803068856.7464,4391410000.0,270030064.93,,390000.0,4661830064.93,6394653871.32,,-238311902.89,940651902.61,702339999.72,,,,-1554068.12,1193353.08,,117311.28,,,-4487438.06,114043.35,,34471727.36,-66451387.5,,-8956613551.29,-925579650.33,2731652299.47,,-6649339582.78,,,,702339999.72,940651902.61,,,-238311902.89
10,000537.SZ,20161027,20161027,20160930,1,1,,,3752090478.95,,,,,,,,,,,,,3800818202.16,7552908681.11,6591084469.15,44730636.81,636355130.75,,,,,,4020508585.63,11292678822.34,-3739770141.23,,,,18356623.29,,18356623.29,782595.31,,,,,782595.31,17574027.98,6030000000.0,,36935.83,6030036935.83,-4446706405.0935,1976110000.0,175253587.55,,310000.0,2151673587.55,3878363348.28,,156167235.03,940651902.61,1096819137.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
