,ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,im_n_incr_cash_equ
0,002499.SZ,20190425,20190425,20190331,1,1,,,2313591.28,,,,,,,,,,,,,1170571.37,3484162.65,2752457.0,2783175.89,187573.57,,,,,,9137868.93,14861075.39,-11376912.74,,,,,,,,,,,,,,30000000.0,,10500000.0,40500000.0,,30000000.0,1641242.52,,37250000.0,68891242.52,-28391242.52,,-39768155.26,40093880.94,325725.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,002499.SZ,20190425,20190425,20181231,1,1,-540574702.98,36279054.88,36837593.42,,,,,,,,,,,,,57482056.07,94319649.49,124172876.13,23539154.98,15107269.16,,,,,,182785963.91,345605264.18,-251285614.69,,,,29487.18,71695370.0,71724857.18,4825395.09,5000000.0,1000000.0,,,10825395.09,60899462.09,105000000.0,,620125000.0,727125000.0,,234900000.0,35270597.03,,323150000.0,593320597.03,133804402.97,,-56581749.63,96675630.57,40093880.94,2000000.0,2000000.0,,348175352.61,11081914.31,146447.43,12486196.39,,,-29487.18,,,2685892.39,3285612.04,,94738019.86,221718295.24,-441278209.68,,-251285614.69,,,,40093880.94,96675630.57,,,-56581749.63
2,002499.SZ,20190425,20190425,20181231,1,1,-540574702.98,36279054.88,36837593.42,,,,,,,,,,,,,57482056.07,94319649.49,124172876.13,23539154.98,15107269.16,,,,,,182785963.91,345605264.18,-251285614.69,,,,29487.18,71695370.0,71724857.18,4825395.09,5000000.0,1000000.0,,,10825395.09,60899462.09,105000000.0,,620125000.0,727125000.0,-33026606.48,234900000.0,35270597.03,,323150000.0,593320597.03,133804402.97,,-56581749.63,96675630.57,40093880.94,2000000.0,2000000.0,,348175352.61,11081914.31,146447.43,12486196.39,,,-29487.18,,,2685892.39,3285612.04,,94738019.86,221718295.24,-441278209.68,,-251285614.69,,,,40093880.94,96675630.57,,,-56581749.63
3,002499.SZ,20181026,20181026,20180930,1,1,,,87626373.99,14718.63,,,,,,,,,,,,112693199.9,200334292.52,281772447.7,16063365.03,17013814.66,,,,,,229148840.57,543998467.96,-343664175.44,,,,,71695370.0,71695370.0,2102057.5,5000000.0,,,,7102057.5,64593312.5,75000000.0,,506945427.99,583945427.99,-95106885.0264,204900000.0,15408273.62,,179717537.31,400025810.93,183919617.06,,-95151245.88,96675630.57,1524384.69,2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,002499.SZ,20180828,20180828,20180630,1,1,27386109.57,-16089297.52,69998123.03,16389.54,,,,,,,,,,,,52245821.51,122260334.08,253229262.74,12045872.53,15978457.87,,,,,,157477110.6,438730703.74,-316470369.66,,,,,21695370.0,21695370.0,2102057.5,5000000.0,,,,7102057.5,14593312.5,75000000.0,,492621000.0,569621000.0,-91854824.9492,204900000.0,6128287.13,,141188537.31,352216824.44,217404175.56,,-84472881.6,96675630.57,12202748.97,2000000.0,,,11196606.35,5431966.4,23696.94,3740077.35,,,,,,-43408.24,-2980177.57,,-99945689.73,-152471179.3,-92719073.91,,-316470369.66,,,,12202748.97,96675630.57,,,-84472881.6
5,002499.SZ,20180427,20180427,20180331,1,1,,,13509017.52,,,,,,,,,,,,,32720911.41,46229928.93,32270912.62,7897516.22,7474120.55,,,,,,85943924.56,133586473.95,-87356545.02,,,,,,,2054479.5,5000000.0,,,,7054479.5,-7054479.5,30000000.0,,166659667.36,196659667.36,-103055724.9521,163561880.0,3497304.14,,5067227.99,172126412.13,24533255.23,,-69877769.29,96675630.57,26797861.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,002499.SZ,20180427,20180427,20171231,1,1,39598895.55,11835709.41,272089117.05,934377.8,,,,,,,,,,,,80394350.52,353417845.37,712245885.04,67144552.0,26105129.17,,,,,,622620594.23,1428116160.44,-1074698315.07,15965257.11,581500000.0,3240387.97,367029.16,547321856.32,1148394530.56,19160316.73,578961933.94,,20000000.0,,618122250.67,530272279.89,322460000.0,,573563757.86,896023757.86,-441453488.8661,,8965227.94,,364347989.83,373313217.77,522710540.09,-1356661.32,-23072156.41,119747786.98,96675630.57,,,,6940679.7,14130495.92,2374273.3,657154.63,,,11675.78,,,-22981222.56,-5509396.04,,-150509762.99,-803269265.77,-152416370.47,-15561181.53,-1074698315.07,,,,96675630.57,119747786.98,,,-23072156.41
7,002499.SZ,20171024,20171024,20170930,1,1,,,335176257.92,714721.51,,,,,,,,,,,,2502642.97,338393622.4,839125859.15,58525401.28,18557935.77,,,,,,124128683.67,1040337879.87,-701944257.47,,684500000.0,3934892.77,59800.0,547555387.42,1236050080.19,12333514.1,660460452.94,142099692.81,,,814893659.85,421156420.34,578900000.0,,37525649.31,616425649.31,-193162437.6798,168000000.0,9471575.91,,6157837.86,183629413.77,432796235.54,-1376135.09,150632263.32,119747786.98,270380050.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,002499.SZ,20170824,20170824,20170630,1,1,41706767.13,5263541.04,219268083.27,534304.0,,,,,,,,,,,,2824132.14,222626519.41,533660751.75,40052508.57,13009840.56,,,,,,40679384.15,627402485.03,-404775965.62,,433000000.0,3009799.16,53800.0,,436063599.16,11438631.68,374960452.94,132099692.81,1000000.0,,519498777.43,-83435178.27,450900000.0,,3347994.48,454247994.48,132826294.3171,,3531291.04,,1314851.16,4846142.2,449401852.28,-570965.81,-39380257.42,119747786.98,80367529.56,,,,1249554.51,9398502.1,1569378.73,,,,20142.31,,,-3013618.34,-3173424.68,,-704843263.34,448136742.21,-201090287.29,,-404775965.62,,,,80367529.56,119747786.98,,,-39380257.42
9,002499.SZ,20170427,20170427,20170331,1,1,,,60735749.88,303159.54,,,,,,,,,,,,2679750.52,63718659.94,62798715.91,20730507.44,6276644.37,,,,,,68926813.13,158732680.85,-95014020.91,,186600000.0,1412930.11,13000.0,,188025930.11,8525465.8,160000000.0,132099692.81,,,300625158.61,-112599228.5,233000000.0,,2919077.79,235919077.79,-10539750.8141,,,,669855.28,669855.28,235249222.51,-47181.79,27588791.31,119747786.98,147336578.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,002499.SZ,20170303,20170303,20161231,1,1,19073052.24,-1240911.66,329944504.79,2383197.09,,,,,,,,,,,,18204202.36,350531904.24,166757066.24,59920279.05,34671108.85,,,,,,43016409.3,304364863.44,46167040.8,,575400000.0,3968652.77,40253612.96,,619622265.73,40901542.08,647400000.0,,,,688301542.08,-68679276.35,25000000.0,,12789872.09,39411872.09,23442983.8179,,22979897.9,7859897.9,21876585.78,44856483.68,-5444611.59,1683782.82,-26273064.32,146020851.3,119747786.98,1622000.0,1622000.0,,8613470.63,19528950.08,3243671.48,,,,-13845877.5,,-339311.36,-3968652.77,-2111623.2,,12502918.75,15424316.36,-10712962.25,,46167040.8,,,,119747786.98,146020851.3,,,-26273064.32
