,ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
0,002611.SZ,20190430,20190331,0.01,0.01,0.6524,0.6524,2.8815,0.0282,-1.6819,2844232.29,23381604.22,206999186.16,1.4961,1.2457,0.8601,0.8307,0.1497,1.7586,0.1202,46075956.44,60769500.7,,-283151156.099,-345228506.959,5674201416.16,527330619.5,797370441.92,-1306274977.53,2806538528.99,2986395468.06,1228748205.18,4775201189.92,-3040635455.68,0.0143,2.1598,0.2282,-1.6537,-0.3737,0.0331,-0.154,-0.1878,2.2777,17.2555,82.7445,13.0418,2.2777,3.7539,8.409,0.8789,0.0545,96.1591,4.258,5.0658,0.6558,0.66,0.5847,0.6088,0.2737,0.6824,2.6232,2.4352,63.7613,2.7595,2.4962,82.0517,17.9483,25.5681,16.6982,83.1602,86.0163,13.9837,0.0697,1.7595,0.5674,4.9802,0.401,3.5197,,0.06,219.098,1.0948,0.2627,709402151.31,4.1869,3.7539,96.1591,0.6558,0.5847,0.2737,34.9803,0.0,0.0,-13.9842,92.56,84.2889,120.0578,139.25,37.6332,327.0669,-1.379,22.1405,-1.3783,40.4283,40.4283,40.4283,101.1918,-48.4723
1,002611.SZ,20190417,20181231,-2.11,-2.11,3.6012,3.6012,2.8815,0.0282,-1.6962,29411796.54,-3905407016.45,1146054260.16,1.804,1.5634,1.5391,4.781,0.9766,9.7762,0.6181,-3900391132.25,-3843523471.42,-3732023003.1,944789704.92,630221686.14,3543099397.48,529556531.9,882084599.2,-1665261275.37,2850888355.26,3126619153.74,924998957.35,4914317746.51,-3066861292.19,-2.1081,2.19,0.3925,-1.668,0.6303,-2.0904,0.5139,0.3428,-58.4327,17.3085,82.6915,15.8362,-58.4327,7.8643,7.6223,0.3496,59.7446,158.9063,-58.3158,-58.0474,-66.2712,-67.71,-66.7741,-35.8792,-36.1174,-55.679,-66.2712,-35.8792,55.1325,2.2288,1.8316,78.0624,21.9376,31.7225,17.9493,81.9354,78.487,21.513,0.1856,1.2288,0.8127,4.5648,0.5754,3.232,,0.1457,139.1098,-36.1174,-36.1824,695742188.35,-58.3358,12.7355,242.4251,-70.3631,-70.3205,-40.492,3.7322,-780.6452,-780.6452,573.462,-732.2822,-697.0695,-890.2158,-1205.98,857.9162,-1605.4008,-67.192,-27.7447,-47.5079,41.3355,41.3355,28.4599,-2553.6145,-47.5079
2,002611.SZ,20181030,20180930,0.19,0.19,1.9611,1.9611,2.6954,0.0282,0.6001,31966063.24,314064191.08,797000124.95,1.9832,1.4956,1.1333,2.8634,0.5733,5.4114,0.2969,394643671.21,450369578.97,,165119305.8248,-89725948.2952,2706744805.75,200500074.64,920138390.27,-464594487.14,2941990355.31,2991811402.54,1943116492.83,8942433338.68,1155164182.04,0.1882,4.337,0.3313,0.6283,0.0188,0.2449,0.0898,-0.0488,9.6945,22.1039,77.8961,11.1204,9.6945,3.7903,6.788,0.5421,-0.2178,89.055,11.7794,12.4905,4.4235,4.41,4.0149,3.7087,2.8785,4.0927,5.898,4.9449,32.2995,1.4771,1.5524,50.9262,49.0738,24.8276,10.2896,89.1717,79.5003,20.4997,0.2002,0.4771,2.0834,8.6662,0.7687,3.1973,,0.1592,213.9319,3.838,2.8495,686900771.01,11.9483,4.4421,88.2298,1.762,1.5624,1.1641,15.1758,35.7143,35.7143,98.2645,37.9995,42.8905,69.0944,167.12,217.2139,56.682,-35.0282,-4.7285,3.9541,54.2675,54.2675,4.0631,-22.5789,7.922
3,002611.SZ,20180830,20180630,0.11,0.11,1.2318,1.2318,2.6963,0.0282,0.5244,16194495.05,190620207.37,489391653.95,1.9276,1.5433,1.3387,1.5834,0.365,3.4063,0.1873,236822721.03,267259238.41,316706666.13,650019785.3657,618902073.9757,2624870862.26,187645124.41,1054908837.91,-789103005.5,2807102139.62,2823491794.4,1398635665.96,8935532795.73,1015948630.14,0.1125,4.2573,0.2206,0.5526,0.3236,0.1454,0.3535,0.3366,9.3694,21.6081,78.3919,11.2841,9.3694,3.4044,6.8229,1.0568,-0.4079,89.5436,11.0403,11.8003,2.6688,2.66,2.4599,2.21,1.7548,2.4835,5.3376,4.42,32.9197,1.4908,1.5605,49.9446,50.0554,23.8942,11.8058,87.6009,78.7094,21.2906,0.1333,0.4908,2.024,7.4202,0.7258,2.661,,0.1049,223.9262,3.5096,1.7102,677188209.34,11.2969,3.2758,84.5636,2.5093,2.3284,1.634,7.146,0.0,0.0,568.4848,33.5134,35.1526,53.8444,338.75,962.9362,45.7677,-36.2221,-5.5456,2.0441,115.9459,115.9459,79.3429,823.882,5.5408
4,002611.SZ,20180428,20180331,0.01,0.01,0.7434,0.7434,4.9117,0.0451,0.7144,2144815.53,9772889.86,144745353.25,1.5389,1.2673,1.0754,0.604,0.1285,1.2861,0.0681,19076989.68,48885810.58,,424470841.2067,335295694.2567,3710320577.8,188997175.13,1010618963.85,-639765430.85,2685713991.42,2365298016.51,1393775962.71,8760112826.29,872756695.37,0.0104,6.7064,0.2653,0.7595,0.2945,0.0425,0.3694,0.2918,1.4977,16.9441,83.0559,14.4583,1.4977,3.6166,8.3094,2.5322,-0.0586,97.7668,2.8588,5.7227,0.155,0.16,0.1271,0.3896,0.102,0.2597,0.62,1.5584,38.7848,1.6336,1.6321,53.3553,46.6447,21.2151,11.5366,87.9744,89.3939,10.6061,0.0695,0.6336,1.5696,7.6257,0.547,2.6575,,0.0621,288.3686,0.408,0.095,675605161.27,3.1904,3.6166,97.7668,0.155,0.1271,0.102,35.6907,0.0,0.0,266.4365,51.7968,56.6171,77.4174,66.27,555.6933,-64.8563,0.4674,1.7819,0.4674,225.7177,225.7177,225.7177,-94.1296,404.8339
5,002611.SZ,20180426,20171231,0.5,0.5,4.0768,4.0768,4.9117,0.0451,0.704,137382354.65,353115982.47,1046431161.51,1.5615,1.3216,1.0889,6.0056,1.1342,7.8198,0.604,472478044.77,647468155.75,717811209.33,-960327836.8523,-600642652.3923,3321595675.24,201575456.96,1201861404.42,-199479788.64,2645407843.68,2353187940.72,1821140233.28,8914628076.44,860838989.98,0.4268,6.6752,-0.0829,0.7491,0.4643,0.5634,-0.8357,-0.5227,11.1168,22.3365,77.6635,10.9762,11.1168,4.162,6.4282,0.3859,0.9325,89.9148,13.0355,13.8205,10.676,8.85,7.6858,8.3473,6.7143,9.3327,10.676,8.3473,37.9893,1.6126,1.6883,52.6144,47.3856,21.2691,13.4819,86.0474,88.6955,11.3045,-0.0227,0.6126,1.6234,6.3824,0.5599,2.2011,,-0.0202,129.5147,6.7143,6.3236,683747867.5,13.809,4.2599,87.4497,3.7964,3.1281,2.3621,-12.2368,233.3333,233.3333,-118.8838,360.4829,255.1583,412.7629,623.24,-133.7913,1.4723,182.2495,304.4129,405.3228,205.5224,205.5224,423.3119,267.3978,405.3228
6,002611.SZ,20171026,20170930,0.22,0.22,2.0339,2.0339,4.9218,0.0305,0.4699,87063291.39,117574078.45,513903573.93,1.5458,1.0863,0.8552,2.745,0.6098,4.1592,0.3131,177854448.41,310221315.66,,-562881713.1003,-496061437.7203,3339101751.52,170909291.77,913354343.87,-634112503.08,2282834557.94,2100050609.5,1061431765.37,8343551601.83,574978022.7,0.1781,6.4298,0.1671,0.5003,0.4745,0.27,-0.4898,-0.4317,10.0076,21.987,78.013,13.9433,10.0076,4.0637,9.5066,0.3729,0.0076,92.3906,8.3294,13.2726,4.5951,4.25,2.6401,4.1559,3.1336,4.5413,6.1268,5.5412,37.3168,1.5953,1.6761,50.179,49.821,19.2586,10.9468,88.5568,86.9915,13.0085,0.0499,0.5953,1.6704,8.0897,0.5161,2.4994,,0.0434,258.9603,4.1781,2.7415,641295359.44,12.8997,3.3234,91.8958,0.9484,1.0014,0.7153,11.9419,83.3333,83.3333,55.2974,89.0436,126.3058,182.6211,170.1,178.0434,-43.1424,171.8732,285.4165,386.7438,115.4606,115.4606,172.8822,72.9983,397.0687
7,002611.SZ,20170825,20170630,0.17,0.17,0.9057,0.9057,4.964,0.0302,0.4056,90984432.79,43446693.3,273185735.49,1.6467,1.2251,0.7731,1.8788,0.3054,1.8651,0.1487,73431555.17,191629503.3,221215775.54,-1014638722.9455,-1154507278.6955,2567646757.72,160941799.59,694941647.96,-385167206.74,2332337794.99,2022610423.07,1502681908.18,8302000775.77,504771778.95,0.1161,6.4044,0.033,0.4359,0.1749,0.1655,-0.8762,-0.9969,14.4992,26.0474,73.9526,18.4013,14.4992,4.9733,13.239,0.1891,-0.0444,92.9985,7.7661,18.2712,3.0092,3.82,0.9725,2.717,2.1561,2.916,6.0184,5.434,31.0367,1.45,1.5788,46.6923,53.3077,21.1443,8.3708,89.3359,91.3626,8.6374,0.0122,0.45,2.1664,10.6724,0.6813,3.3562,,0.0111,295.3181,4.3122,1.906,632061134.32,18.05,4.1852,92.452,2.8561,0.8402,1.9477,-1.0593,142.8571,142.8571,-76.7442,76.2603,152.0894,200.5299,160.08,-58.0878,-41.0154,170.7992,258.6577,388.5806,71.2018,71.2018,149.7298,309.0939,409.5057
8,002611.SZ,20170429,20170331,0.01,0.01,0.4086,0.4086,0.7557,0.0546,0.569,839430.57,5877895.21,75976066.34,1.3575,1.0789,0.8601,1.0392,0.1328,0.4968,0.0787,14063602.23,21108146.55,,-413380123.763,31710181.677,785392974.99,85718769.66,989923237.89,380734877.67,844363368.33,587900442.38,837945290.18,2716281035.56,400219051.34,0.0105,2.3783,0.0724,0.6235,0.0485,0.0329,-0.644,0.0494,3.7022,28.9689,71.0311,22.9096,3.7022,7.3366,14.1597,1.4132,0.1482,94.6377,6.1004,8.0483,0.4413,0.44,0.3861,0.6336,0.2915,0.4738,1.7652,2.5344,51.8771,2.078,2.1885,62.2326,37.7674,23.537,36.4441,56.2009,88.3716,11.6284,0.0283,1.078,0.8203,1.5421,0.4537,0.853,2.2177,0.025,294.1218,1.166,0.2016,527056725.86,6.6351,7.3366,94.6377,0.4413,0.3861,0.2915,17.7295,-50.0,-50.0,-27.6723,-24.3304,-26.0127,-40.1846,-37.04,-27.6367,-44.8241,0.5624,16.6434,0.5647,-11.8896,-11.8896,-11.8896,-46.212,8.4086
9,002611.SZ,20170428,20161231,0.15,0.15,2.389,2.389,0.7557,0.0546,0.5585,46833620.51,48824307.95,402579509.38,1.5181,1.1636,0.9063,5.3926,1.054,2.867,0.5511,127677581.82,184602106.51,221865387.86,-196828779.2179,-254266240.6679,722040143.57,97903439.69,540809961.22,-33583059.95,832653749.72,586056959.93,420782374.81,2255576565.04,393501725.56,0.149,2.365,0.439,0.6131,0.22,0.2876,-0.3067,-0.3961,8.3747,26.2542,73.7458,16.4177,8.3747,6.214,10.3885,-0.1849,1.03,91.6735,8.6559,12.0388,7.8809,6.9,4.0225,6.6349,4.6155,6.648,7.8809,6.6349,44.2447,1.7936,2.2922,55.835,44.165,27.0736,23.9766,67.2999,83.1274,16.8726,0.2491,0.7936,1.1156,2.8069,0.6119,1.5396,,0.2071,188.3675,4.6155,3.4381,528884127.24,11.8791,7.006,93.6328,1.5478,0.3524,1.0846,47.4227,36.3636,36.3636,116.7901,31.5095,58.6961,47.5333,-9.07,139.705,-11.5987,50.9639,23.5628,66.8904,18.4279,18.4279,-1.9761,-47.606,66.8904
