,ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
0,601975.SH,20190412,20190331,0.0358,0.0358,0.1939,0.1939,0.8068,0.067,-1.0875,5420533.85,174359682.81,284969154.3,1.1001,0.9378,0.9327,2.8023,0.7597,0.1513,0.1246,209855667.05,263316331.71,,-103818298.3992,123676656.6008,453078955.74,131006871.74,3082982396.76,2527036892.4,3911879686.28,116694089.79,273795201.46,7117382332.73,-5126023159.15,0.0358,0.78,0.0395,-1.0204,-0.0337,0.0524,-0.0207,0.0246,18.8051,29.2609,70.7391,7.5749,18.8051,0.7353,2.3127,4.5269,,78.4518,22.2827,27.0376,4.6797,4.68,4.5386,3.3697,2.3437,3.153,18.7188,13.4788,47.6152,1.909,2.0341,16.6568,83.3432,50.7939,43.3162,55.0503,31.7999,68.2001,0.1703,0.909,1.0685,1.2709,1.0668,1.2689,1.548,0.0542,55.6891,9.3748,2.3007,6335779040.14,22.5106,0.7353,78.4518,4.6797,4.5386,2.3437,20.396,100.0,100.0,-0.5038,209.5017,116.654,100.2245,162.26,-0.3619,73.7648,4.0694,-2.847,4.0618,15.4031,15.4031,15.4031,68.6524,15.2273
1,601975.SH,20190320,20181231,0.0717,0.0717,0.6725,0.6725,0.8068,0.067,-1.1233,69790680.76,290462306.92,646042131.85,1.0534,0.9122,0.9097,12.2511,2.9826,0.5329,0.4461,368596257.13,615901870.78,1026912414.14,1258882535.3242,1097314557.2942,410506432.83,680840926.48,2957723212.75,2232247008.2,3758771422.12,64884061.15,144931265.78,6835803805.39,-5305803375.81,0.0717,0.7495,0.1782,-1.0562,0.05,0.1226,0.2506,0.2184,10.7812,19.1236,80.8764,7.9744,10.7812,0.6199,3.1892,4.1653,-0.0259,89.0891,11.0396,18.2314,10.1344,10.13,8.1711,8.1327,4.8093,7.5327,10.1344,8.1327,51.0785,2.0441,2.1304,16.1586,83.8414,47.4164,43.2681,55.0807,30.0323,69.9677,0.736,1.0441,0.9299,1.273,0.9283,1.2708,1.6839,0.221,48.2457,4.8093,4.757,6552046798.59,13.2513,0.6978,85.603,3.7846,2.6228,1.784,29.8594,-12.2399,-12.2399,10.136,-6.2614,4.8362,-12.2445,-23.53,10.1451,-22.0539,12.5883,9.8083,12.5848,-9.4115,-9.4115,-10.0084,226.3561,12.5848
2,601975.SH,20181031,20180930,0.0439,0.0439,0.4957,0.4957,0.8068,0.067,-1.1511,26877276.78,193580879.84,436168625.84,0.9671,0.8447,0.8391,8.84,2.2375,0.3904,0.3294,240745074.97,388475168.03,,617000829.6084,494545623.1084,450053526.76,727487553.44,2990971185.16,2330026078.74,3617911476.74,-42227332.63,130470329.73,6724825774.36,-5445598206.87,0.0439,0.7211,0.1254,-1.084,0.0371,0.0773,0.1228,0.0984,8.9555,17.5154,82.4846,7.6238,8.9555,0.5922,2.5684,4.4633,-0.025,90.3323,9.8093,15.6001,6.329,6.33,5.5574,5.1381,2.9496,4.7354,8.4387,6.8508,52.7502,2.1164,2.1706,15.7101,84.2899,45.7826,44.4766,53.8647,30.7951,69.2049,0.4906,1.1164,0.869,1.2111,0.8679,1.2096,1.5527,0.1511,48.4077,3.9328,2.9158,6633069900.13,11.1368,0.5697,95.147,0.3886,0.3877,0.1894,20.5888,-27.1973,-27.1973,-7.3855,-17.0924,-12.5658,-27.2074,-30.57,-7.4082,-34.6273,8.3221,9.465,8.312,-9.1967,-9.1967,-13.2309,-70.7363,11.3502
3,601975.SH,20180807,20180630,0.0411,0.0411,0.3371,0.3371,0.8068,0.067,-1.1539,26845991.7,179635848.86,335256236.08,0.8627,0.7454,0.7383,5.7463,1.6105,0.2648,0.2254,202066458.78,317387166.09,516179762.61,952394011.9041,739618041.2341,466209502.68,757061275.23,2901588988.94,2392027750.96,3567172393.14,-177993222.11,142515165.46,6584108829.38,-5459574522.93,0.0411,0.711,0.0927,-1.0868,0.007,0.0632,0.1896,0.1472,12.2922,19.8001,80.1999,7.6087,12.2922,0.6027,2.6714,4.3346,-0.034,88.066,12.0981,18.7447,5.9711,5.97,5.1947,4.2244,2.7702,4.2545,11.9422,8.4488,52.8328,2.1201,2.1727,14.3234,85.6766,45.6898,44.0696,54.2479,31.426,68.574,0.3593,1.1201,0.8659,1.231,0.8648,1.2294,1.4913,0.1129,49.0038,5.5404,2.7482,6660993038.54,14.0505,0.594,84.4636,3.3474,3.2458,1.553,31.3646,5.1151,5.1151,-7.2072,0.1005,14.718,5.2442,-5.45,-7.1966,-6.5868,6.8049,8.1492,6.8,-7.165,-7.165,-1.2735,92.1539,12.6652
4,601975.SH,20180424,20180331,0.0179,0.0179,0.168,0.168,0.8068,0.067,-1.1771,23304686.32,66484621.99,132269786.85,1.0229,0.9119,0.8691,2.99,0.7852,0.1369,0.1155,70115636.45,135965560.97,,188067523.84,153464649.8,421344477.64,489842880.68,2972021017.71,2506067610.36,3396968936.24,26077670.28,277851611.0,6481604965.68,-5576267055.18,0.0179,0.6769,0.0397,-1.1101,-0.0017,0.0271,0.0374,0.0305,10.6769,15.6736,84.3264,7.1597,10.6769,0.6115,2.4272,4.121,0.0042,91.6915,8.3085,16.1115,2.6625,2.66,1.9715,1.861,1.2333,1.8698,10.65,7.444,52.527,2.1065,2.1664,15.7606,84.2394,45.9497,45.8532,52.4616,29.3333,70.6667,0.175,1.1065,0.8757,1.1441,0.8748,1.143,1.3555,0.0513,45.3434,4.9332,1.229,6220026738.8,11.9905,0.6115,91.6915,2.6625,1.9715,1.2333,23.6232,-27.8226,-27.8226,56.2992,-45.4437,-21.26,-28.0396,-46.72,56.2036,-34.0379,1.6824,2.4063,1.6753,-12.4245,-12.4245,-12.4245,-33.2795,9.0935
5,601975.SH,20180331,20171231,0.0817,0.0817,0.7424,0.7424,0.8068,0.067,-1.195,30664836.04,379854150.0,739646012.81,0.9163,0.8096,0.8051,14.5037,3.5902,0.5896,0.5024,394649263.92,645947817.95,1036345006.09,53085213.668,-42227934.502,362511623.73,387818195.84,3015509293.0,2541027724.77,3340801372.94,-89935142.81,147384980.25,6468751758.41,-5666056363.49,0.0817,0.6657,0.1618,-1.1279,-0.0322,0.1286,0.0106,-0.0084,11.1354,19.8338,80.1662,9.0632,11.1354,0.6016,2.3587,6.1029,-0.136,89.4174,10.6686,17.3213,12.9506,12.95,11.9832,8.7024,5.5946,9.7786,12.9506,8.7024,52.1651,2.0905,2.3416,13.6358,86.3642,46.2774,46.6166,51.6997,28.5279,71.4721,0.7564,1.0905,0.8881,1.109,0.8871,1.1079,1.3147,0.2158,38.5709,5.5946,5.5307,6226849312.88,11.4504,0.6748,89.6756,3.2637,3.0628,1.4885,13.4107,-26.6607,-26.6607,-37.529,-30.9156,-26.732,-26.6494,-28.18,-37.5499,-34.3018,11.6384,-5.3374,11.6478,-35.4945,-35.4945,-33.1076,14.7245,11.6478
6,601975.SH,20171021,20170930,0.0603,0.0603,0.5459,0.5459,0.8068,0.067,-1.2164,24036704.5,278821140.01,556264831.5,0.9699,0.8823,0.8727,9.3448,2.5451,0.4346,0.3707,292767867.04,496360767.78,,-478578626.17,-638832521.83,510214023.77,321607325.15,2974934692.69,2455387406.3,3249129286.11,-32910697.54,32237873.57,6337501724.38,-5773717505.02,0.0603,0.6476,0.1354,-1.1494,-0.0231,0.0988,-0.0953,-0.1272,11.2375,20.2838,79.7162,9.3337,11.2375,0.5753,2.2249,6.5335,-0.0398,89.3244,10.6756,18.0994,9.6938,9.69,8.9244,6.7096,4.1658,7.5847,12.9251,8.9461,53.0978,2.1321,2.3678,14.8131,85.1869,45.3199,46.9418,51.3306,28.7623,71.2377,0.6213,1.1321,0.8546,1.0935,0.8535,1.0922,1.3233,0.1787,41.8393,5.5544,4.0939,6098982787.86,11.566,0.5161,90.0274,3.3212,2.7659,1.4964,19.4188,-30.289,-30.289,-30.2062,-29.1985,-28.921,-30.3015,-30.61,-30.197,-39.0785,8.6031,-5.9898,8.6014,-36.3122,-36.3122,-34.5947,26.0898,14.407
7,601975.SH,20170812,20170630,0.0391,0.0391,0.3631,0.3631,0.8068,0.067,-1.2376,6204036.05,189989135.53,396860756.82,0.8127,0.69,0.6803,7.0854,1.8123,0.2853,0.2462,201167076.54,341040626.27,535932234.25,213977192.7536,98324747.9436,546116892.63,349102063.11,3016701677.17,2602532271.55,3166021810.35,-211990389.5,-40527729.8,6295784121.05,-5880382177.95,0.0391,0.6311,0.0999,-1.1706,-0.0441,0.0679,0.0426,0.0196,11.0057,21.7591,78.2409,10.4855,11.0057,0.6051,2.3566,7.5238,-0.0498,88.9704,11.0296,18.6986,6.3641,6.36,6.1628,4.6033,2.7094,5.2087,12.7282,9.2066,54.4002,2.193,2.4032,12.7904,87.2096,44.0275,47.9162,50.3547,28.9308,71.0692,0.4434,1.193,0.8104,1.0509,0.8093,1.0495,1.2165,0.1283,41.3346,5.4188,2.6482,6262548402.28,11.3703,0.6366,91.5552,2.2718,2.074,1.0198,43.5017,-32.0,-32.0,-17.5743,-30.5294,-30.221,-32.1082,-32.47,-17.5547,-42.3367,5.836,-5.7056,5.8355,-37.1435,-37.1435,-45.2287,-43.4739,17.7383
8,601975.SH,20170421,20170331,0.0248,0.0248,0.1918,0.1918,0.8068,0.067,-1.2519,-14008.79,124790040.06,240740470.22,0.9885,0.8804,0.8699,3.0211,0.9219,0.149,0.1281,128519817.11,211426402.18,,-552767832.07,-425397482.07,493441863.09,545229110.04,3157896961.78,2761271337.31,3112886568.85,-11587479.25,107334596.47,6380447070.99,-5951799318.26,0.0248,0.6205,0.0254,-1.1848,-0.0475,0.0421,-0.11,-0.0847,13.1002,24.9827,75.0173,11.349,13.1002,0.5769,2.1674,8.6046,-0.0426,86.6629,13.3371,21.9406,4.0828,4.08,4.0832,2.8105,1.6781,3.2554,16.3312,11.242,56.5642,2.3022,2.4614,13.4437,86.5563,41.9576,49.4933,48.8511,24.0432,75.9568,0.1265,1.3023,0.7427,0.987,0.7418,0.9857,1.1273,0.0304,43.6606,6.7124,1.6587,6413061217.64,13.336,0.5769,86.6629,4.0828,4.0832,1.6781,13.2443,-17.8808,-17.8808,-40.0943,-14.2457,-16.9924,-17.7055,-15.64,-40.0685,-32.7146,4.0584,-2.7143,4.0559,-27.6028,-27.6028,-27.6028,-6.3706,22.3066
9,601975.SH,20170307,20161231,0.1114,0.1114,1.1509,1.1509,0.8068,0.067,-1.2767,30757125.64,528909646.78,1041221028.58,0.867,0.7768,0.7687,21.0638,5.3739,0.8636,0.7431,550769576.37,955886844.35,1352619990.91,1431701631.4725,956725427.6125,536892749.46,709975986.23,3279649038.34,2643274548.35,2991258385.68,-167713766.22,-80197980.77,6379246871.38,-6076575349.53,0.1114,0.5963,0.259,-1.2097,0.0138,0.1903,0.285,0.1905,9.8369,18.0104,81.9896,8.2446,9.8369,0.3771,1.5391,6.3285,0.0299,90.4732,9.5268,16.5343,20.7654,20.77,19.6243,12.2864,7.3096,14.9729,20.7654,12.2864,59.3555,2.4604,2.8866,14.3332,85.6668,39.2239,51.4112,46.9558,27.8533,72.1467,1.032,1.4604,0.6618,0.9133,0.6608,0.9121,1.1316,0.2874,24.6908,7.3096,7.1936,6524155749.21,10.081,0.4622,90.6952,4.2865,4.354,1.7155,22.1423,-10.8086,-10.8086,15.3675,-11.2556,-9.0584,-10.8167,-13.43,15.3986,-28.6952,25.0629,-3.8801,25.0733,5.5106,5.5106,1.0069,10.7565,25.0733
