,ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
0,300721.SZ,20190426,20190331,0.0289,0.0289,2.7023,2.7023,6.7345,0.2853,2.6244,382393.94,1955398.55,30372268.03,1.2662,0.8915,0.4584,2.8882,0.3396,0.9564,0.1536,1385719.92,6275306.1,,,,174898605.29,11621527.9,345000000.0,238689971.9,698228016.32,133073769.83,351763741.73,1272946571.72,235332137.46,0.0289,10.8058,-0.6101,2.9096,-2.6981,0.0776,,,1.0348,13.8963,86.1037,12.1143,1.0348,5.1547,4.9694,1.9901,0.4627,99.366,1.1881,2.8712,0.268,0.27,0.2242,0.441,0.1589,0.5045,1.072,1.764,36.4188,1.5728,1.6312,43.3701,56.6299,47.8413,27.1025,68.6574,94.0507,5.9493,-0.0987,0.5728,1.6443,2.5333,1.3136,2.0238,2.9253,-0.0928,118.9833,0.6356,0.1643,498472143.49,0.8811,5.1547,99.366,0.268,0.2242,0.1589,-22.5761,-73.2655,-73.2655,-72.5884,-75.4851,-81.5073,-73.0296,-73.24,-74.1608,-73.4387,0.3725,5.2613,0.3729,-19.4704,-19.4704,-19.4704,85.2933,1.5403
1,300721.SZ,20190412,20181231,0.4435,0.4435,13.9371,13.9371,6.7233,0.2853,2.5954,11626438.77,24105458.33,146879395.84,1.523,1.104,0.9484,12.7213,1.5047,5.227,0.8486,27012730.65,53591179.87,85163801.4,189578631.5459,234578631.5459,159549010.35,12192807.61,290000000.0,-15378456.75,694995143.92,224647869.61,189269412.86,1214775883.26,232994344.97,0.4418,10.7657,1.5355,2.8807,2.1494,0.6626,2.3439,2.9003,3.1801,13.0301,86.9699,9.9527,3.1801,4.6227,4.2088,1.1213,0.0619,97.6036,3.8099,4.7542,4.1465,4.15,2.7973,4.0346,2.6988,3.901,4.1465,4.0346,33.3023,1.4993,1.5414,47.1827,52.8173,50.1252,23.8727,71.6779,93.028,6.972,0.2891,0.4993,1.8857,3.0025,1.5052,2.3965,,0.269,88.2331,2.6988,2.6901,434882379.09,3.7177,4.4899,101.3807,0.1615,-0.2296,0.1079,7.928,-57.5842,-57.5842,5828.5714,-47.8668,-47.3957,-44.6744,-59.04,5876.8221,-45.8168,1.1871,9.1684,2.1084,-7.0493,-7.0493,-20.281,-89.8344,2.1084
2,300721.SZ,20181026,20180930,0.4283,0.4283,10.869,10.869,6.7313,0.2517,2.6116,8218285.85,26106284.95,122858106.12,1.7312,1.3142,0.6413,8.7379,1.1018,4.299,0.6651,30438811.41,50175031.0,,-88841.935,24911158.065,164166318.24,13101478.08,270000000.0,118104002.68,695087769.37,317462424.95,435566427.63,1196290464.01,231587018.67,0.4244,10.7854,1.2923,2.8633,-0.0785,0.6204,-0.0011,0.308,3.9084,13.9756,86.0244,9.8862,3.9084,4.6602,4.164,1.062,0.0532,96.5375,4.726,5.7076,3.9795,3.96,3.0267,3.7959,2.5993,3.6206,5.306,5.0612,32.5627,1.4829,1.5325,54.7213,45.2787,50.6049,22.5698,72.919,97.0708,2.9292,0.2407,0.4829,1.9503,3.2308,1.5541,2.5744,5.8854,0.2337,89.3693,3.4657,2.5968,315973895.32,4.6456,4.6385,97.4294,1.3166,0.8095,0.8597,23.1969,-47.851,-47.851,397.0385,-32.294,-32.5784,-30.4605,-40.28,565.5691,-56.9798,1.3723,8.1481,2.2956,-2.4804,-2.4804,-8.3052,-19.6991,61.6437
3,300721.SZ,20180824,20180630,0.286,0.286,7.0461,7.0461,6.7072,0.2517,2.4707,3827562.34,19096960.41,83036952.19,2.0021,1.5205,0.8588,5.6977,0.7133,2.7555,0.4457,22490314.09,33352600.61,48657190.01,114744995.127,74744995.127,171487930.11,13672757.79,205000000.0,60792392.66,680603407.47,377264523.25,438056915.91,1102208131.09,220186970.62,0.2834,10.6266,0.4054,2.7224,-0.1627,0.4124,1.4187,0.9241,4.0218,14.5708,85.4292,9.9377,4.0218,4.6719,4.115,1.1507,0.142,96.0535,4.8711,5.8525,2.6777,2.66,2.2307,2.6083,1.7924,2.488,5.3554,5.2166,30.3068,1.4349,1.4936,58.5498,41.4502,52.8678,18.599,77.9779,96.4956,3.5044,0.0871,0.4349,2.2029,4.1926,1.7444,3.32,11.1955,0.084,92.1835,3.5848,1.7928,263620067.93,4.8187,4.4175,95.3541,1.6576,1.3707,1.1124,20.4789,-44.0532,-44.0532,153.375,-26.388,-26.5704,-25.3807,-26.75,239.0496,-54.8042,-0.1203,1.3619,0.7894,1.0008,1.0008,-9.9684,62.0746,65.1023
4,300721.SZ,20180427,20180331,0.1081,0.1081,3.3863,3.3863,6.6284,0.254,2.5153,1360581.46,7307401.03,38982480.8,2.2348,1.7394,0.8802,2.5003,0.329,1.2939,0.2134,8623287.65,13964299.08,,-7158169.2345,-7158169.2345,115641758.68,14247191.11,245000000.0,141749565.32,679799381.27,445309522.8,587059088.12,1143458395.7,221960430.36,0.1081,10.7388,-0.3535,2.7693,-0.3431,0.1742,-0.0893,-0.0893,3.197,14.363,85.637,10.3639,3.197,4.9518,4.1038,1.3083,0.2587,96.8228,3.9027,5.1451,1.0118,1.01,0.8529,1.0981,0.6823,1.0211,4.0472,4.3924,29.4412,1.4173,1.4844,63.2939,36.7061,53.3868,21.4262,75.273,96.1996,3.8004,-0.0786,0.4173,2.2959,3.5131,1.8133,2.7747,4.7958,-0.0756,98.9416,2.7292,0.6816,241277283.61,3.8368,4.9518,96.8228,1.0118,0.8529,0.6823,-10.4389,-31.4086,-31.4086,,-12.5003,-12.7325,-8.503,-9.49,12.9474,,0.9343,0.2579,0.9344,16.6273,16.6273,16.6273,-60.1536,
5,300721.SZ,20180425,20171231,1.0456,1.0456,15.1306,15.1306,6.6284,0.254,2.4072,5735537.24,58849245.13,206821060.99,2.314,1.9125,0.9508,11.8774,1.7438,5.7345,1.1233,72302207.33,91595700.37,122568115.1,-256027155.764,-236027155.764,119775308.1,14815317.22,245000000.0,126154283.18,670593098.81,479303189.13,605457472.31,1135481290.55,213292447.87,0.8058,10.6394,0.0259,2.6612,0.8647,1.1428,-3.1944,-2.9448,5.3251,17.0543,82.9457,10.208,5.3251,4.9825,4.0349,1.1906,0.1859,94.038,6.7929,7.5529,9.6225,11.83,8.7679,8.4844,5.9818,7.9795,9.6225,8.4844,29.8873,1.4263,1.6085,66.4591,33.5409,52.7996,21.5768,75.1,96.097,3.903,0.0057,0.4263,2.2465,3.4806,1.7666,2.7371,5.3157,0.0055,80.8552,5.9818,5.9824,228709238.88,6.5691,5.0576,93.9748,2.1869,2.1744,1.339,-4.3774,1.0339,1.0339,-96.1912,11.6416,5.1936,8.4898,1.02,-94.9416,-37.7077,30.5945,42.8511,74.1624,20.9728,20.9728,19.1026,16.0448,74.1624
6,300721.SZ,20171114,20170930,0.8213,,14.9991,14.9991,4.1657,0.2052,3.0905,5648924.4,43710913.12,150654014.26,1.4377,1.1777,0.6893,8.3913,1.5657,4.2345,0.9513,53547508.6,71580653.44,,-78260037.5347,-33260037.5347,150572249.35,8249102.28,270000000.0,219033785.16,365591649.82,184102610.45,403136395.61,847377935.18,198067503.02,0.8213,8.9793,0.26,3.2956,-0.309,1.191,-1.3022,-0.5534,5.4733,16.7125,83.2875,9.8287,5.4733,4.9566,3.6509,1.2212,0.2093,94.0598,6.1896,7.9406,9.5911,9.4,8.4935,7.5535,5.2065,7.4138,12.7881,10.0713,42.6179,1.7427,1.8414,60.0949,39.9051,36.3339,31.863,63.6856,98.0763,1.9237,0.0373,0.7427,1.2585,1.9987,0.8526,1.354,1.6691,0.0366,76.2953,6.942,5.2087,225326217.68,6.7194,4.8267,93.4991,3.5158,3.3279,1.9742,1.7887,-1.864,,-52.7,0.5008,2.7553,7.331,1.85,-52.6985,,10.22,13.1721,10.218,21.6323,21.6323,19.9726,10.2217,
7,300721.SZ,20171024,20170630,0.5112,0.5112,9.3883,9.3883,4.1604,0.2052,2.7804,4652692.23,26069300.0,93414641.9,1.5162,1.1499,0.9888,5.4196,1.0564,2.7036,0.6364,31625833.24,42627243.47,57645681.95,41169842.0017,36169842.0017,123880997.21,8749481.5,220000000.0,102063934.47,393780837.01,177517973.61,279581908.08,751424169.4,179429631.31,0.5112,8.6618,0.16,2.9855,0.8053,0.7093,0.685,0.6018,5.4375,16.5559,83.4441,10.0578,5.4375,5.0342,3.8861,1.1375,0.1874,94.3949,5.8289,7.5548,6.0823,5.95,5.1612,4.8081,3.4606,4.7355,12.1646,9.6162,39.8879,1.6636,1.7552,58.9781,41.0219,44.5426,29.2777,69.2782,97.5188,2.4812,0.0281,0.6636,1.4763,2.3662,1.1167,1.7899,3.8582,0.0274,83.2879,6.9212,3.4653,217859984.86,6.6281,4.4532,93.5122,4.0817,,2.4027,12.7345,-11.8621,-11.8012,-69.8113,-14.379,-7.3196,-3.5364,-13.98,-69.4425,-14.0126,6.3202,-0.5661,6.3203,22.6463,22.6463,,71.6822,12.1834
8,300721.SZ,20180427,20170331,,,,,,,,,,39983194.54,,,,2.401,0.4256,1.1003,0.2617,10117367.54,15208486.24,,,,,,,,,,,,,,,,,,,,,4.056,17.1812,82.8188,11.8941,4.056,5.8618,4.6246,1.4076,0.2968,95.6525,5.2019,6.5353,1.9348,,,1.7106,1.0616,1.1917,7.7392,6.8424,,,,,,,,,,,,,,,,,,,100.9944,4.2464,,,5.1276,5.8618,95.6525,1.9348,,1.0616,-13.9853,,,,,,,,,,,,,,,,-36.0881,
9,300721.SZ,20171024,20161231,1.0349,1.0349,16.6801,16.6801,4.1604,0.2052,2.2692,1273291.83,58257500.0,200107474.5,1.4456,1.086,0.7273,9.8264,1.9589,4.9116,1.2167,73929241.29,89378104.29,116904920.26,-200077725.6534,-150077725.6534,153279835.0,10288422.59,225000000.0,135462977.86,415710084.74,168545830.13,304008807.99,725519773.16,148707665.5,0.9905,8.1469,0.68,2.4743,-0.0648,1.4872,-3.3291,-2.4971,5.9325,19.9614,80.0386,11.7522,5.9325,5.5967,4.6999,1.4556,0.2269,92.6253,7.4275,8.9158,14.6187,13.72,14.3061,10.8481,7.2183,11.4562,14.6187,10.8481,43.7041,1.7763,2.0232,61.5041,38.4959,46.7569,31.0122,67.4864,97.3522,2.6478,0.1086,0.7763,1.2601,2.1761,1.0699,1.8476,3.0688,0.1057,95.4451,7.2183,7.2254,213499227.27,7.5545,6.0486,92.7821,2.7658,3.1333,1.5197,3.0147,-10.7845,-10.4835,-79.6407,4.9371,-2.96,3.3981,12.858,-75.2752,-31.406,24.9065,17.1826,50.7392,-8.426,-8.426,,10.7261,50.7392
