,ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
0,000069.SZ,20190426,20190331,0.1461,0.1461,0.9655,0.9655,0.671,0.4801,5.3472,55469278.53,1143256742.06,4928797108.15,1.6379,0.5754,0.4923,20.9064,0.031,0.5438,0.0249,1522746534.97,2452229972.48,,-5455219672.74,23256009453.17,140283426135.73,1463231895.25,120978773308.01,71828874691.22,43806516352.99,108000747444.89,87878051265.1,200370796908.18,47801655277.11,0.1461,7.483,-0.0777,5.8273,2.8854,0.2989,-0.665,2.835,15.7749,62.2337,37.7663,16.5788,15.7749,2.5057,5.0355,9.0376,0.0258,80.773,21.8918,30.9632,1.9895,1.97,1.8974,0.7708,0.3927,0.9542,7.958,3.0832,76.7939,4.3092,5.2801,81.0574,18.9426,12.8045,60.3774,30.6352,64.4439,35.5561,-0.0038,3.3092,0.2336,0.5074,0.1667,0.3621,0.6099,-0.0024,5117.9413,1.5708,0.3768,10105408180.58,21.9256,2.5057,80.773,1.9895,1.8974,0.3927,-8.0489,6.9546,6.9546,90.3262,20.465,20.7848,6.9432,1.86,90.3263,-6.2299,3.8238,16.3004,3.8235,24.9482,24.9482,24.9482,-78.1184,14.0483
1,000069.SZ,20190330,20181231,1.2907,1.2907,5.8688,5.8688,0.67,0.4801,5.2011,1076788326.2,9512082237.42,29053527939.39,1.616,0.511,0.4064,115.8998,0.2401,3.3654,0.1882,12531524546.69,17557003139.03,19535905892.32,-23794633351.5959,4306532585.6741,123261405479.7,1458156451.83,92285241542.29,65056937317.74,41817020346.83,89323861439.35,83833272201.94,169447574878.27,46602929256.52,1.2908,7.2074,-1.2171,5.6811,-0.4105,2.1403,-2.9007,0.525,23.4603,60.3492,39.6508,12.8492,23.4603,3.5696,4.9897,4.29,0.3608,73.9698,31.2557,36.4689,19.0496,18.98,17.1124,6.8632,4.415,8.6273,19.0496,6.8632,73.7692,3.8123,4.6022,79.6564,20.3436,14.2154,54.4624,34.8918,66.8184,33.1816,-0.0689,2.8123,0.2725,0.6407,0.1927,0.4531,0.6428,-0.046,2508.3253,4.415,4.1393,24397581004.66,31.9703,3.8321,74.872,9.7259,8.2488,2.0827,45.3756,22.5387,22.5387,-29.6719,23.2955,20.0569,22.5161,30.41,-26.1523,7.8546,13.6061,34.9331,13.5938,13.7009,13.7009,2.6957,108.0282,13.5938
2,000069.SZ,20181026,20180930,0.6205,0.6205,2.9926,2.9926,0.6917,0.4396,4.5617,241697669.97,4848507637.66,14946202851.09,1.9125,0.7692,0.5304,51.3941,0.1272,1.7573,0.1,6603324423.82,8407595993.82,,-25094014326.1265,18826586191.9635,98306225196.24,1116264447.86,104124161888.01,62713777790.08,39369725637.03,104669277373.73,79653666359.12,174318163370.13,41028462946.82,0.6205,6.5763,-2.522,5.0013,1.3692,1.0249,-3.0589,2.2949,21.9163,60.8799,39.1201,13.7879,21.9163,3.3173,5.2518,5.2188,0.0219,73.1029,29.0168,34.2464,9.6044,9.54,9.1483,3.4233,2.1907,4.1826,12.8059,4.5644,74.3575,3.8998,4.6341,80.138,19.862,14.3821,59.7323,30.9486,56.3512,43.6488,-0.1804,2.8998,0.265,0.5181,0.1934,0.3781,0.6278,-0.1016,3330.3767,2.9209,2.0725,22230385786.91,29.0276,3.8017,63.1386,5.7078,5.6028,1.1615,-116.398,7.6323,7.6323,-132.8287,13.5852,13.5776,7.6002,18.79,-132.7764,-4.287,3.6585,25.5636,3.6524,26.754,26.754,76.2189,103.0762,12.4197
3,000069.SZ,20180822,20180630,0.2455,0.2455,1.7941,1.7941,0.6901,0.4396,4.4843,185069359.24,1828714110.62,8348325906.35,1.9106,0.7486,0.503,30.0785,0.0791,1.0523,0.0621,2979035023.95,4311697296.5,5769604610.27,-13659389326.3007,16710804403.2893,94619075016.64,1116411734.82,92473216108.36,48584403732.0,39640969772.22,97983087085.98,67073491959.61,161087916639.53,40393185525.65,0.2455,6.5639,-1.1269,4.9238,1.7183,0.5256,-1.665,2.037,15.6215,56.7215,43.2785,15.2934,15.6215,2.9938,5.4008,6.8988,0.1758,79.7594,22.5222,29.2952,3.8033,3.8,3.4538,1.8182,0.9695,2.0554,7.6066,3.6364,73.2833,3.743,4.4788,80.0478,19.9522,15.4351,57.4054,33.4274,57.1697,42.8303,-0.0859,2.743,0.2861,0.5823,0.2106,0.4287,0.8159,-0.0491,3260.9572,1.939,0.8492,22200509989.93,22.5757,2.4747,79.5384,1.6586,1.3121,0.5113,-31.6856,16.1855,16.1855,47.7368,27.83,27.5705,16.157,6.07,47.7503,-2.6421,3.463,17.8037,3.4575,6.7386,6.7386,9.7738,30.3169,19.3093
4,000069.SZ,20180427,20180331,0.1366,0.1366,0.7726,0.7726,0.6887,0.4395,4.3859,-1443851.67,1122343592.65,4031425690.63,1.8666,0.6617,0.4164,13.1865,0.0358,0.4516,0.0278,1264434158.78,2030143400.97,,-12345413932.0264,3029388423.0836,89899102330.06,1113810001.49,79831775717.57,46022145947.41,39396186551.05,86812345675.86,63278015905.7,148047353834.17,39588310105.51,0.1366,6.5605,-0.8032,4.8254,0.5676,0.2475,-1.5048,0.3693,16.2743,63.6024,36.3976,19.0694,16.2743,3.68,6.0419,9.3475,0.4129,80.0515,22.7065,32.0288,2.1175,2.05,2.1202,0.8894,0.4519,1.0507,8.47,3.5576,71.4651,3.5045,4.3121,78.2174,21.7826,16.4796,53.9231,36.3551,58.6348,41.3652,-0.0658,2.5045,0.315,0.6742,0.2306,0.4935,0.856,-0.0386,4418.5899,1.8076,0.4911,21953180213.73,22.6813,3.68,80.0515,2.1175,2.1202,0.4519,-103.9621,47.9957,47.9957,12.2474,27.4275,26.4424,48.0738,49.35,12.2649,22.691,3.4094,9.6558,3.4098,2.9744,2.9744,2.9744,-75.7426,20.6885
5,000069.SZ,20180427,20171231,1.0533,1.0533,5.161,5.161,0.6871,0.4395,4.2493,1348637197.61,7294605352.03,21277418973.27,1.6213,0.5954,0.4013,97.3229,0.3104,2.9546,0.2328,7388759241.2,14346984845.87,16444971839.4,-12092502448.5891,14446304321.7609,87245990499.37,995879160.54,63745629601.22,34589605439.75,38168101372.75,63867614856.83,50259176945.36,129221542294.64,38467410364.53,1.0535,6.3442,-0.9386,4.6888,1.4801,1.7488,-1.474,1.7609,22.008,50.2523,49.7477,12.4527,22.008,3.4126,5.2663,3.7738,1.5539,82.5495,28.8252,33.8842,18.0508,18.05,15.2343,7.8871,5.1227,9.498,18.0508,7.8871,69.8911,3.3213,3.7989,76.6387,23.3613,17.5515,49.3305,40.2784,67.6329,32.3671,-0.0749,2.3213,0.3425,0.8165,0.2511,0.5988,1.1035,-0.0507,1485.7904,5.1227,4.7515,21649079674.99,30.2794,3.2642,81.8353,7.8222,6.4239,2.1652,5.1709,25.4675,25.4675,-274.8835,42.3974,35.5618,25.475,18.75,-274.85,5.3905,19.0795,48.5965,19.0573,19.3346,19.3346,39.8108,61.2941,19.0573
6,000069.SZ,20171028,20170930,0.5765,0.5765,2.3606,2.3606,0.6852,0.3419,3.8476,649228374.23,4081434881.74,9607935580.4,1.4523,0.5634,0.4016,43.0906,0.1525,1.3549,0.1127,3215836121.18,7399213484.91,,-8209436212.8967,22075784322.1433,75775392607.4,58982361.12,68687983202.5,38339140823.45,35011105577.49,46048317188.98,41732843409.93,121517227791.54,34374654461.39,0.5766,5.8488,-1.0832,4.1895,1.8069,0.9018,-1.0005,2.6905,24.926,49.6061,50.3939,15.9332,24.926,3.5885,6.5374,5.8072,0.1322,83.3965,32.3809,38.2024,10.317,10.23,8.9011,4.3057,2.8093,5.3741,13.756,5.7409,73.2309,3.7357,3.7478,74.9206,25.0794,17.7405,56.5253,39.4915,70.445,29.555,-0.0873,2.7357,0.3321,0.6987,0.2423,0.5097,0.9132,-0.0615,2197.8243,3.7457,2.7528,22472862469.86,32.3952,5.1824,86.7128,6.4367,5.0631,1.6225,157.8152,62.166,62.166,-187.2563,57.9482,56.7948,62.1759,41.2,-187.256,34.1331,9.781,34.8538,9.7715,1.6729,1.6729,-26.4838,151.318,20.9067
7,000069.SZ,20170826,20170630,0.2113,0.2113,1.6804,1.6804,0.6828,0.3419,3.5049,9672585.82,1724000845.53,6684796260.89,1.4935,0.5772,0.2601,28.4971,0.115,0.9629,0.0857,2474471476.16,3208172349.09,4043866821.41,-19178496640.8662,3779778186.6538,60604973178.54,46847076.26,65006766457.63,47514202510.69,34355869031.05,44124273995.99,55432005349.05,114861781525.46,31565834246.24,0.2113,5.5002,-2.1562,3.8468,0.2307,0.391,-2.3372,0.4606,13.0745,48.4795,51.5205,13.5948,13.0745,2.9436,5.7901,4.8611,0.118,82.0546,18.8061,23.2663,3.9025,3.85,3.8807,1.9935,1.1203,2.1641,7.805,3.987,71.5948,3.5205,3.6225,76.0793,23.9207,19.5745,56.5956,39.2931,71.1494,28.8506,-0.1979,2.5205,0.3592,0.6943,0.2734,0.5285,0.7231,-0.1408,1905.0506,2.2406,1.0773,22297844282.79,18.8892,2.8881,81.4546,2.177,2.1677,0.5941,-133.3933,9.7662,9.7662,-2139.0447,12.7129,12.7983,9.7426,9.43,-2139.5272,-6.4707,3.2378,19.9315,3.2381,20.3197,20.3197,28.0817,29.5916,17.335
8,000069.SZ,20170426,20170331,0.0923,0.0923,0.7501,0.7501,0.6802,0.3419,3.4848,5520364.86,751466627.73,2805223748.1,1.5203,0.6421,0.2939,12.2826,0.0552,0.4272,0.0405,1058807489.52,1417457875.73,,-8054745943.1384,3363812019.4216,55110793099.88,47724791.92,53574832532.34,34617568394.42,33966113045.58,39952390425.33,42669863040.9,102785064476.7,31400499268.35,0.0923,5.4348,-0.9153,3.8267,0.411,0.1727,-0.9816,0.4099,13.1967,45.5734,54.4266,13.5209,13.1967,3.0125,5.9521,4.5563,0.2338,82.7987,18.3492,23.0279,1.7143,1.71,1.7018,0.9317,0.5339,1.0486,6.8572,3.7268,68.8432,3.2096,3.4455,73.9112,26.0888,21.5052,52.1232,43.388,70.6182,29.3818,-0.0978,2.2096,0.4101,0.8324,0.3124,0.634,0.9812,-0.0691,1825.5092,2.1356,0.4975,21999998436.31,18.4716,3.0125,82.7987,1.7143,1.7018,0.5339,-122.0201,26.0929,26.0929,-437.4633,22.0405,22.2629,25.9836,25.67,-437.3606,8.3708,2.0102,7.9256,2.0113,11.9092,11.9092,11.9092,-75.448,16.2523
9,000069.SZ,20170408,20161231,0.8395,0.8395,4.324,4.324,0.6775,0.3419,3.3925,745554197.82,6142863733.54,18896640516.44,1.4791,0.5323,0.2576,81.4857,0.3772,2.3959,0.2713,7948005478.34,10233743430.0,12190933260.76,310841324.8973,6432091684.7773,55939100832.89,47633278.79,42242145971.64,26652121615.25,33131746038.71,34396632321.8,34660597601.01,90358154901.53,30643512275.76,0.8395,5.3277,0.5367,3.7344,0.0442,1.2472,0.0379,0.7839,20.6052,53.2583,46.7417,11.7399,20.6052,3.5215,5.6014,2.617,0.323,77.5993,24.1566,28.8428,16.8415,16.84,15.0187,7.8236,5.5892,9.4427,16.8415,7.8236,67.1215,3.0415,3.1981,72.5613,27.4387,22.6395,46.7497,48.382,73.0876,26.9124,0.0613,2.0415,0.4451,1.0349,0.3373,0.7843,1.2431,0.0448,1297.9861,5.5892,5.2662,21991542384.68,26.6549,3.2119,73.1682,9.5229,7.7985,2.9576,-35.1908,31.7896,31.7896,335.1884,24.4285,28.9971,48.436,43.44,335.2106,29.3157,14.7865,26.9626,14.7858,10.0656,10.0656,11.0245,175.4601,14.7858
