,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit
0,600894.SH,20190426,20190426,20190331,1,1,0.1492,0.1492,1142980620.8,1142980620.8,,,,,,,,,,,,,,,31862016.03,112909692.46,112909692.46,,1163061955.09,1003383607.93,,,5425823.54,32928377.41,84861397.87,-6172083.87,7663.3,,,,,,,,,,,130039260.35,338339.95,860095.86,,129517504.44,3162175.1,126355329.34,128300902.51,-1945573.17,-2450525.26,123904804.08,125852066.91,-1947262.83,,,,,
1,600894.SH,20190426,20190426,20190331,1,1,0.1492,0.1492,1142980620.8,1142980620.8,,,,,,,,,,,,,,,31862016.03,112909692.46,112909692.46,,1163061955.09,1003383607.93,,,5425823.54,32928377.41,84861397.87,-6172083.87,7663.3,,,,,,,,,,,130039260.35,338339.95,860095.86,,129517504.44,3162175.1,126355329.34,128300902.51,-1945573.17,-2450525.26,123904804.08,125852066.91,-1947262.83,,,,,
2,600894.SH,20190426,20190426,20181231,1,1,0.1559,0.1559,5463009582.7,5463009582.7,,,,,,,,,,,,,,,,294247930.62,271190904.74,,5661238303.84,4663522698.03,,,28068018.58,165830971.88,385375601.28,-26841263.59,245354587.46,,,,,,,,,,,133749474.91,25596982.88,2665266.96,,156681190.83,18906965.72,137774225.11,134063510.26,3710714.85,115827208.15,253601433.26,249808390.07,3793043.19,59111048.03,181023980.65,,,
3,600894.SH,20190426,20190426,20181231,1,1,0.1559,0.1559,5463009582.7,5463009582.7,,,,,,,,,,,,,,,,294247930.62,271190904.74,,5661238303.84,4663522698.03,,,28068018.58,165830971.88,385375601.28,-26841263.59,245354587.46,,,,,,,,,,,133749474.91,25596982.88,2665266.96,,156681190.83,18906965.72,137774225.11,134063510.26,3710714.85,115827208.15,253601433.26,249808390.07,3793043.19,,,,,
4,600894.SH,20181027,20181027,20180930,1,1,0.3025,0.3025,4044251601.01,4044251601.01,,,,,,,,,,,,,,,594063.53,184688292.39,169270574.41,,4006432747.28,3488122291.63,,,16726545.05,122571724.66,275016781.05,-25983469.29,-11140674.88,,,,,,,,,,,253292561.56,24811354.81,2056450.76,,276047465.61,14191359.58,261856106.03,260138597.61,1717508.42,-36099388.17,225756717.86,224035278.0,1721439.86,30880331.28,,,,
5,600894.SH,20180825,20180825,20180630,1,1,0.1648,0.1648,2479788916.06,2479788916.06,,,,,,,,,,,,,,,,103678502.05,88368784.07,,2478758405.66,2126283983.95,,,11541433.81,82039844.32,278226859.16,-19261726.5,-71989.08,,,,,,,,,,,126049553.05,24658988.67,649079.44,60937.61,150059462.28,7128468.1,142930994.18,141682940.16,1248054.02,13109592.58,156040586.76,154791852.3,1248734.46,3109854.03,67275850.92,,,
6,600894.SH,20180428,20180428,20180331,1,1,0.0238,0.0238,1026868795.6,1026868795.6,,,,,,,,,,,,,,,3787083.33,29298845.22,29298845.22,,1042903232.2,891667552.83,,,3619394.75,33603330.96,123666833.46,-9653879.8,,,,,,,,,,,,18057607.63,728187.48,205661.16,,18580133.95,501884.26,18078249.69,20451218.57,-2372968.88,5301271.5,23379521.19,25756005.69,-2376484.5,-24682200.72,,,,
7,600894.SH,20180428,20180428,20171231,1,1,0.4633,0.4633,4808765373.35,4808765373.35,,,,,,,,,,,,,,,,308258465.74,287179624.21,,4710749567.18,3930091584.95,,,29732473.46,164245240.58,556938832.34,-28328643.34,58070079.19,,,,,,,,,,,438433426.52,14427125.15,3200239.47,,449660312.2,32181828.67,417478483.53,398449421.74,19029061.79,-135615968.11,281862515.42,262841153.2,19021362.22,123989343.64,240735760.06,,,
8,600894.SH,20171028,20171028,20170930,1,1,0.4267,0.4267,3498340527.62,3498340527.62,,,,,,,,,,,,,,,2692277.78,248012530.84,234076692.45,,3358051594.05,2858935815.56,,,16207585.32,109662867.92,390555809.49,-19386646.73,2076162.49,,,,,,,,,,,390993742.19,30443392.8,3047600.43,422551.37,418389534.56,39998187.79,378391346.77,366919542.01,11471804.76,-114456130.17,263935216.6,252556450.5,11378766.1,122978449.33,,,,
9,600894.SH,20170830,20170830,20170630,1,1,0.2905,0.2905,2154372679.53,2154372679.53,,,,,,,,,,,,,,,,161868742.9,147932904.51,,2054690369.45,1727552487.42,,,10531715.12,79609532.7,245434965.13,-10444143.38,2005812.46,,,,,,,,,,,261551052.98,19678193.2,535024.76,176867.39,280694221.42,23879100.99,256815120.43,249783734.11,7031386.32,-110656209.14,146158911.29,139275668.88,6883242.41,89238166.7,146551058.35,,,
10,600894.SH,20170428,20170428,20170331,1,1,0.1128,0.1128,890603939.38,890603939.38,,,,,,,,,,,,,,,,52314023.98,52567420.19,,846003986.73,712461246.89,,,3076049.43,31927754.67,102013214.8,-3474279.06,,,,,,,,,,,,96913976.63,8068681.35,319064.63,117825.5,104663593.35,7638136.62,97025456.73,97009391.95,16064.78,-42981294.93,54044161.8,54070852.52,-26690.72,41125673.59,,,,
11,600894.SH,20170428,20170428,20161231,1,1,1.2422,1.2422,4727645054.86,4727645054.86,,,,,,,,,,,,,,,,415302575.47,407081004.98,,4311107903.47,3628783994.82,,,33609684.4,139885078.86,535622366.76,-25887806.29,-905415.08,,,,,,,,,,,831839726.86,619300774.82,15516511.18,400536.13,1435623990.5,336920456.52,1098703533.98,1068219041.32,30484492.66,24975552.51,1123679086.49,1093189111.66,30489974.83,390649345.1,487677086.16,,,
12,600894.SH,20161029,20161029,20160930,1,1,0.9804,0.9804,3280368408.25,3280368408.25,,,,,,,,,,,,,,,,277615197.49,270105887.0,,2976780134.03,2522310744.37,,,15696915.16,106528089.17,354994762.5,-23423643.44,673266.27,,,,,,,,,,,581203471.71,601580370.48,9478724.16,3348679.2,1173305118.03,316721280.1,856583837.93,843079404.13,13504433.8,58064508.13,914648346.06,901143737.59,13504608.47,,,,,
13,600894.SH,20160827,20160827,20160630,1,1,0.3846,0.3846,2032214391.85,2032214391.85,,,,,,,,,,,,,,,,181279107.26,173182668.67,,1852121112.37,1559588691.52,,,10633855.11,59258502.63,235588641.73,-13519837.9,571259.28,,,,,,,,,,,361372386.74,7519425.49,2330676.91,709438.13,366561135.32,26709263.71,339851871.61,330757390.32,9094481.29,9613154.57,349465026.18,340425191.43,9039834.75,167144700.86,219741987.76,,,
14,600894.SH,20160428,20160428,20160331,1,1,0.1288,0.1288,851715871.31,851715871.31,,,,,,,,,,,,,,,,62019402.01,62019402.01,,791878021.3,661731035.16,,,4599894.24,22886221.2,108735015.94,-6074145.24,,,,,,,,,,,,121857252.02,1392972.03,493954.49,144454.07,122756269.56,10196664.16,112559605.4,110801528.98,1758076.42,-641177.66,111918427.74,110256711.38,1661716.36,53763704.77,,,,
15,600894.SH,20160408,20160408,20151231,1,1,2.494,2.494,4825951351.96,4825951351.96,,,,,,,,,,,,,,,,399066720.32,399017301.14,,4449139532.86,3760605622.32,,,32667331.95,131099795.69,516243687.78,-5271303.93,13794399.05,,,,,,,,,,,775878539.42,1729193137.3,18158994.38,15307246.36,2486912682.34,329273229.64,2157639452.7,2144723039.95,12916412.75,3712219.27,2161351671.97,2148511359.78,12840312.19,371781574.97,473322416.25,,,
16,600894.SH,20151029,20151029,20150930,1,1,2.329,2.329,3579495564.62,3579495564.62,,,,,,,,,,,,,,,,306242270.22,306585451.1,,3267971483.6,2774361399.18,,,29832969.68,99451716.17,353990261.71,9075667.99,1259468.87,,,,,,,,,,,617766351.24,1718004568.06,16796829.22,14381802.47,2318974090.08,301751063.04,2017223027.04,2002808569.1,14414457.94,3019572.61,2020242599.65,2006130558.75,14112040.9,321859217.88,,,,
