,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit
0,002496.SZ,20190427,20190427,20190331,1,1,0.008,0.008,453989852.13,453989852.13,,,,,,,,,,,,,,,,6188939.85,6188939.85,,454656490.66,278895564.76,,,3262091.93,25948927.77,122829219.18,18478157.01,32782.07,,,,,,,,,,,9285388.3,967336.35,1476943.85,,8775780.8,4075388.16,4700392.64,11335610.93,-6635218.29,-489171.33,4211221.31,10846439.6,-6635218.29,,,,,
1,002496.SZ,20190427,20190427,20181231,1,1,-0.36,-0.33,2519112574.04,2519112574.04,,,,,,,,,,,,,,,,13406792.63,6222628.75,,3056236983.96,1640831494.28,,,23789609.72,124585281.26,820958179.12,76074694.83,295389870.62,,,,,,,,,,,-521964065.17,6770797.43,99227737.46,,-614421005.2,-27090978.73,-587330026.47,-546820741.41,-40509285.06,1039716.11,-586290310.36,-545781025.3,-40509285.06,-187179596.31,98759217.86,,,
2,002496.SZ,20181024,20181024,20180930,1,1,-0.16,-0.14,2338061860.89,2338061860.89,,,,,,,,,,,,,,,,5593632.07,5385659.38,,2580120348.44,1577178031.07,,,18069733.03,90811514.43,585576000.82,74737716.11,187465407.05,,,,,,,,,,,-235043999.21,6260541.96,61606572.78,,-290390030.03,451252.16,-290841282.19,-243794787.41,-47046494.78,1060119.11,-289781163.08,-242734668.3,-47046494.78,27070372.71,,,,
3,002496.SZ,20180828,20180828,20180630,1,1,0.065,0.064,1647038329.36,1647038329.36,,,,,,,,,,,,,,,,8486474.99,6898724.14,,1507710694.47,1063390438.2,,,14519730.04,59501708.07,315155874.84,49764906.39,5378036.93,,,,,,,,,,,152445059.69,569534.02,17555088.16,,135459505.55,25032022.79,110427482.76,98124291.06,12303191.7,402382.22,110829864.98,98526673.28,12303191.7,201458641.7,341532741.56,,,
4,002496.SZ,20180828,20180828,20180630,1,1,0.065,0.064,1647038329.36,1647038329.36,,,,,,,,,,,,,,,,8486474.99,6898724.14,,1507710694.47,1063390438.2,,,14519730.04,59501708.07,315155874.84,49764906.39,5378036.93,,,,,,,,,,,152445059.69,569534.02,17555088.16,,135459505.55,25032022.79,110427482.76,98124291.06,12303191.7,402382.22,110829864.98,98526673.28,12303191.7,195856529.22,335930629.08,,,
5,002496.SZ,20180428,20180428,20180331,1,1,0.083,0.078,845772685.45,845772685.45,,,,,,,,,,,,,,,,5895534.43,2731683.22,,683557991.21,540951179.12,,,6560218.95,26162990.05,92485582.75,17722036.32,-324015.98,,,,,,,,,,,170281028.48,-36726.3,5199130.53,,165045171.65,26648421.93,138396749.72,125051539.96,13345209.76,-1163313.98,137233435.74,123888225.98,13345209.76,182632187.44,,,,
6,002496.SZ,20180428,20180428,20171231,1,1,0.27,0.25,3951553727.71,3951553727.71,,,,,,,,,,,,,,,,84773186.73,14845625.29,,3500045451.32,2898759148.25,,,18553260.68,151058534.78,359322292.81,74598755.55,-2246540.75,,,,,,,,,,,544716116.99,2461074.8,19150471.19,,528026720.6,92680727.75,435345992.85,408081359.96,27264632.89,-926283.06,434419709.79,407155076.9,27264632.89,539677173.54,804821714.84,,,
7,002496.SZ,20171023,20171023,20170930,1,1,0.218,0.204,8938656290.89,8938656290.89,,,,,,,,,,,,,,,,75111764.52,,,8613240058.85,8242944745.4,,,11284242.75,95127964.39,207591991.35,50311950.6,5979164.36,,,,,,,,,,,407063589.71,666101.48,3632767.47,,404096923.72,60430059.25,343666864.47,328433120.65,15233743.82,-124891.19,343541973.28,328308229.46,15233743.82,388242940.15,,,,
8,002496.SZ,20170804,20170804,20170630,1,1,0.155,0.145,6048853112.4,6048853112.4,,,,,,,,,,,,,,,,61834718.89,3437597.25,,5825198587.94,5581894633.91,,,7206485.56,62688457.7,139619648.61,29931150.11,3858212.05,,,,,,,,,,,288401222.13,460666.58,2579726.68,250854.71,286282162.03,41567537.3,244714624.73,234040462.52,10674162.21,-596968.14,244117656.59,233443494.38,10674162.21,256497653.35,383574332.13,,,
9,002496.SZ,20170426,20170426,20170331,1,1,0.098,0.098,3199868080.86,3199868080.86,,,,,,,,,,,,,,,,59506638.09,,,3086262777.74,2955619797.54,,,2853588.64,30698983.92,74873203.1,18300670.92,3916533.62,,,,,,,,,,,173111941.21,1987130.33,891218.74,,174207852.8,22127303.65,152080549.15,148245612.3,3834936.85,182193.43,152262742.58,148427805.73,3834936.85,,,,,
10,002496.SZ,20170426,20170426,20161231,1,1,0.12,0.12,5840361088.44,5840361088.44,,,,,,,,,,,,,,,,52233836.83,10608371.02,,5687248402.03,5181425488.36,,,11019527.31,142237617.42,302823166.72,49597273.02,145329.2,,,,,,,,,,,205346523.24,14786401.83,20962341.21,2907156.22,199170583.86,30123137.05,169047446.81,174400102.71,-5352655.9,1699704.1,170747150.91,176099806.81,-5352655.9,202709959.43,440350854.26,,,
11,002496.SZ,20161026,20161026,20160930,1,1,0.093,0.093,3406646890.56,3406646890.56,,,,,,,,,,,,,,,,31466004.72,,,3282665146.96,2966265164.1,,,2005644.11,93963301.69,212728815.87,27328779.97,-19626558.78,,,,,,,,,,,155447748.32,9435513.49,3916997.54,,160966264.27,23178711.22,137787553.05,140305658.67,-2518105.62,2159844.58,139947397.63,142465503.25,-2518105.62,,,,,
12,002496.SZ,20160818,20160818,20160630,1,1,0.07,0.07,1935940887.95,1935940887.95,,,,,,,,,,,,,,,,30238074.65,5421233.62,,1853829352.92,1625117116.2,,,1770950.86,64089655.25,140312394.63,10771532.98,11767703.0,,,,,,,,,,,112349609.68,5515887.91,3098050.64,8116.72,114767446.95,14021433.93,100746013.02,104428208.62,-3682195.6,96538.42,100842551.44,104524747.04,-3682195.6,92883068.01,211777250.51,,,
13,002496.SZ,20160430,20160430,20160331,1,1,0.12,0.12,775932326.93,775932326.93,,,,,,,,,,,,,,,,567820.76,,,714722575.55,606316735.29,,,733073.4,28833912.09,70334743.56,8698172.77,-194061.56,,,,,,,,,,,61777572.14,3137818.54,1557139.51,,63358251.17,12290767.55,51067483.62,49372823.02,1694660.6,-55522.84,51011960.78,49317300.18,1694660.6,69713862.59,,,,
14,002496.SZ,20160430,20160430,20151231,1,1,0.45,0.45,3333067617.8,3333067617.8,,,,,,,,,,,,,,,,10461820.5,9534755.6,,3145699394.2,2681730756.3,,,4492967.49,126875963.22,269431163.73,47949264.02,15219279.44,,,,,,,,,,,197830044.1,25707630.96,10102183.77,3971008.02,213435491.29,49955629.3,163479861.99,172903253.18,-9423391.19,1274407.87,164754269.86,174177661.05,-9423391.19,235317487.62,436386329.03,,,
15,002496.SZ,20151031,20151031,20150930,1,1,0.35,0.31,2426988145.25,2426988145.25,,,,,,,,,,,,,,,,8492895.4,,,2280813328.69,1978489765.7,,,1461522.48,71154358.22,192861990.51,28614501.22,8231190.56,,,,,,,,,,,154667711.96,33995140.8,12859978.38,,175802874.38,37635016.23,138167858.15,137883754.15,284104.0,,138167858.15,137883754.15,284104.0,183020508.34,,,,
16,002496.SZ,20150818,20150818,20150630,1,1,0.3,0.3,1533165907.15,1533165907.15,,,,,,,,,,,,,,,,7050895.4,6206014.06,,1420072898.95,1227930632.39,,,962669.51,49245110.0,121933435.11,12557195.81,7443856.13,,,,,,,,,,,120143903.6,28337825.59,11469367.67,7876648.72,137012361.52,29081341.41,107931020.11,112107965.59,-4176945.48,-1801007.98,106130012.13,110306957.61,-4176945.48,130201303.49,217323578.7,,,
17,002496.SZ,20150421,20150421,20150331,1,1,0.15,0.15,663409357.87,663409357.87,,,,,,,,,,,,,,,,1199326.57,,,598172103.84,516916766.68,,,302742.21,16290675.6,59954002.8,7691315.6,-2983399.05,,,,,,,,,,,66436580.6,2367606.78,1913257.38,,66890930.0,13093420.81,53797509.19,53188908.73,608600.46,111100.94,53908610.13,53300009.67,608600.46,69945170.58,,,,
18,002496.SZ,20150325,20150325,20141231,1,1,0.63,0.63,2429069127.4,2429069127.4,,,,,,,,,,,,,,,,7843036.96,8125750.1,,2195364250.9,1813939031.77,,,2637981.33,74244500.77,245347746.8,48162467.56,11032522.67,,,,,,,,,,,241547913.46,12148236.34,9264679.94,1964239.95,244431469.86,48578635.66,195852834.2,201266848.75,-5414014.55,-346831.16,195506003.04,200920017.59,-5414014.55,281867344.06,423505320.86,,,
19,002496.SZ,20141015,20141015,20140930,1,1,0.49,0.49,1748315166.62,1748315166.62,,,,,,,,,,,,,,,,405117.63,,,1545329661.41,1291413375.14,,,657095.41,47566654.58,174777949.9,32097282.98,-1182696.6,,,,,,,,,,,203390622.84,9499532.27,5126235.6,,207763919.51,43809718.29,163954201.22,156473518.53,7480682.69,-535026.3,163419174.92,155938492.23,7480682.69,233900091.59,,,,
20,002496.SZ,20140726,20140726,20140630,1,1,0.34,0.34,1101522232.78,1101522232.78,,,,,,,,,,,,,,,,201038.96,,,959840989.19,804946035.37,,,466948.54,28685557.95,107795390.11,19865567.17,-1918509.95,,,,,,,,,,,141882282.55,7818724.73,3373735.61,1087818.97,146327271.67,32465190.21,113862081.46,107389429.14,6472652.32,301670.79,114163752.25,107691099.93,6472652.32,161546810.76,227759774.08,,,
21,002496.SZ,20140416,20140416,20140331,1,1,0.2,0.2,470799312.66,470799312.66,,,,,,,,,,,,,,,,69271.12,,,404262273.06,334955817.56,,,184942.3,11818392.49,49175429.21,10185496.81,-2057805.31,,,,,,,,,,,66606310.72,1122848.08,1901527.33,,65827631.47,11640543.73,54187087.74,49891938.1,4295149.64,,54187087.74,49891938.1,4295149.64,74664731.1,,,,
22,002496.SZ,20140320,20140320,20131231,1,1,0.67,0.67,2085845415.3,2085845415.3,,,,,,,,,,,,,,,,534744.93,-93181.35,,1882983142.01,1549687410.81,,,2626496.14,70169224.31,238035476.22,15459638.31,7004896.22,,,,,,,,,,,203397018.22,6871895.26,7737028.9,1045562.43,202531884.58,39443434.39,163088450.19,163139561.19,-51111.0,-1961044.95,161127405.24,161178516.24,-51111.0,218321911.6,328083297.95,,,
23,002496.SZ,20131017,20131017,20130930,1,1,0.45,0.45,1532582924.25,1532582924.25,,,,,,,,,,,,,,,,922584.47,,,1390490949.18,1157872842.8,,,1772770.87,46093318.6,163845620.48,16836531.52,4069864.91,,,,,,,,,,,143014559.54,4350978.88,3883771.73,,143481766.69,28659029.64,114822737.05,109342648.65,5480088.4,,114822737.05,109342648.65,5480088.4,162998371.5,,,,
24,002496.SZ,20130807,20130807,20130630,1,1,0.31,0.31,1020582700.29,1020582700.29,,,,,,,,,,,,,,,,-391701.23,,,926734298.94,776013173.03,,,1140043.81,32582506.74,104694967.04,9961725.2,2341883.12,,,,,,,,,,,93456700.12,2131613.97,2964654.4,567885.36,92623659.69,17732373.13,74891286.56,75775431.25,-884144.69,-1364784.3,73526502.26,74410646.95,-884144.69,103810126.55,155455570.64,,,
25,002496.SZ,20130410,20130410,20130331,1,1,0.2017,0.2017,465632589.65,465632589.65,,,,,,,,,,,,,,,,-70959.42,,,419905714.99,356614426.47,,,332140.2,11270893.33,44970803.33,6845398.56,-127946.9,,,,,,,,,,,45655915.24,2261421.33,1256169.92,,46661166.65,11681834.18,34979332.47,32953870.94,2025461.53,,34979332.47,32953870.94,2025461.53,52444326.32,,,,
