,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit
0,300162.SZ,20190420,20190420,20190331,1,1,0.035,0.035,216789005.46,216789005.46,,,,,,,,,,,,,,,,933907.51,,,206256165.58,165396155.59,,,1115548.87,15543655.43,12887865.24,5272907.34,-2691898.02,,,,,,,,,,,14827029.77,1472481.48,28930.92,,16270580.33,1818853.42,14451726.91,12124072.59,2327654.32,,14451726.91,12124072.59,2327654.32,,,,,
1,300162.SZ,20190420,20190420,20181231,1,1,-0.1,-0.1,733522239.13,733522239.13,,,,,,,,,,,,,,,,4221353.41,-182123.44,,779564251.08,561762729.44,,,5964113.41,70737369.22,66869880.92,-13264925.38,47805793.48,,,,,,,,,,,-36181780.17,1731056.13,1798316.29,,-36249040.33,1185015.16,-37434055.49,-36478778.29,-955277.2,9110210.05,-28323845.44,-27368568.24,-955277.2,-25675914.94,10527725.22,,,
2,300162.SZ,20190420,20190420,20181231,1,1,-0.1,-0.1,733522239.13,733522239.13,,,,,,,,,,,,,,,,4221353.41,-182123.44,,779564251.08,561762729.44,,,5964113.41,70737369.22,66869880.92,-13264925.38,47805793.48,,,,,,,,,,,-36181780.17,1731056.13,1798316.29,,-36249040.33,1185015.16,-37434055.49,-36478778.29,-955277.2,9110210.05,-28323845.44,-27368568.24,-955277.2,,,,,
3,300162.SZ,20181023,20181023,20180930,1,1,0.0418,0.0418,526462724.29,526462724.29,,,,,,,,,,,,,,,,4274708.64,,,516723707.58,407636265.15,,,4241331.09,46071264.38,43116034.3,-12954873.8,2310182.87,,,,,,,,,,,17687987.51,2212222.04,1385872.34,,18514337.21,3154531.31,15359805.9,14601855.65,757950.25,9935108.24,25294914.14,24536963.89,757950.25,2842650.46,,,,
4,300162.SZ,20180830,20180830,20180630,1,1,0.03,0.03,347797835.52,347797835.52,,,,,,,,,,,,,,,,4169949.74,,,343196512.0,273664091.77,,,2985479.08,29460039.65,37665593.35,-3008996.99,2430305.14,,,,,,,,,,,11196326.98,1901690.85,128097.9,,12969919.93,1449106.25,11520813.68,11671332.47,-150518.79,1628430.35,13149244.03,13299762.82,-150518.79,4091442.77,20236615.63,,,
5,300162.SZ,20180420,20180420,20180331,1,1,0.002,0.002,152184650.17,152184650.17,,,,,,,,,,,,,,,,3465150.41,,,157362446.4,119575736.46,,,1022293.01,11407416.69,16113948.22,9243052.02,,,,,,,,,,,,-1548661.38,2114378.78,77734.96,,487982.44,131698.69,356283.75,697404.55,-341120.8,,356283.75,697404.55,-341120.8,4229240.23,,,,
6,300162.SZ,20180420,20180420,20171231,1,1,0.06,0.06,644508909.64,644508909.64,,,,,,,,,,,,,,,,3680193.44,-370211.04,,625835396.12,452166936.92,,,6620993.51,58762260.14,82650604.21,14369267.81,11265333.53,,,,,,,,,,,25326311.79,2244218.83,642728.34,,26927802.28,5260642.49,21667159.79,20315310.59,1351849.2,-13434821.73,8232338.06,6880488.86,1351849.2,39096275.37,76547416.75,,,
7,300162.SZ,20171030,20171030,20170930,1,1,0.0684,0.0684,472848979.93,472848979.93,,,,,,,,,,,,,,,,3397560.76,,,447559638.7,326709823.93,,,4234688.62,44539670.32,59612718.4,10867564.56,1595172.87,,,,,,,,,,,31128290.98,1020699.54,1294565.79,,30854424.73,6256094.65,24598330.08,23908120.97,690209.11,-10280390.22,14317939.86,13627730.75,690209.11,40193467.65,,,,
8,300162.SZ,20170824,20170824,20170630,1,1,0.06,0.06,311066257.62,311066257.62,,,,,,,,,,,,,,,,1386632.79,,,288121007.7,212070336.2,,,2920017.18,28129268.42,37048285.61,6357927.42,1595172.87,,,,,,,,,,,26181399.27,716260.81,298864.41,,26598795.67,4692505.25,21906290.42,21582003.62,324286.8,-6072496.84,15833793.58,15509506.78,324286.8,31152693.9,47537746.33,,,
9,300162.SZ,20170428,20170428,20170331,1,1,0.025,0.025,139500790.11,139500790.11,,,,,,,,,,,,,,,,,,,127856033.48,95482459.56,,,1517475.55,12614449.47,15660817.62,2580831.28,,,,,,,,,,,,11644756.63,206076.25,111118.92,,11739713.96,2377581.03,9362132.93,8673084.76,689048.17,,9362132.93,8673084.76,689048.17,14225587.91,,,,
10,300162.SZ,20170428,20170428,20161231,1,1,0.09,0.09,562499521.06,562499521.06,,,,,,,,,,,,,,,,8297252.62,-924689.5,,540725885.43,365988665.78,,,6887827.53,55936168.96,80099755.75,-7550251.57,39363718.98,,,,,,,,,,,30070888.25,8185772.15,3432141.75,2465586.96,34824518.65,4307751.83,30516766.82,30760169.98,-243403.16,13144994.96,43661761.78,43905164.94,-243403.16,20754980.69,62516327.98,,,
11,300162.SZ,20161029,20161029,20160930,1,1,0.1174,0.1174,403802198.14,403802198.14,,,,,,,,,,,,,,,,12417539.76,,,372088755.16,265524765.55,,,3346243.09,39362680.97,59148793.62,-3713383.84,8419655.77,,,,,,,,,,,44130982.74,5822077.27,2580359.65,,47372700.36,5582032.38,41790667.98,41076130.86,714537.12,92093.07,41882761.05,41168223.93,714537.12,,,,,
12,300162.SZ,20160810,20160810,20160630,1,1,0.08,0.08,250717675.24,250717675.24,,,,,,,,,,,,,,,,4509791.08,,,224920654.56,165576946.63,,,2141812.45,23930437.71,34313891.18,-2898573.55,1856140.14,,,,,,,,,,,30306811.76,2367136.09,2574833.57,,30099114.28,3667235.98,26431878.3,26645480.45,-213602.15,67270.12,26499148.42,26712750.57,-213602.15,24754587.27,44017481.22,,,
13,300162.SZ,20160415,20160415,20160331,1,1,0.029,0.029,108024389.2,108024389.2,,,,,,,,,,,,,,,,2678558.29,,,97847837.83,69726255.74,,,1329648.41,10751804.06,15725445.58,314684.04,,,,,,,,,,,,12855109.66,1869060.72,2880328.45,,11843841.93,1350938.01,10492903.92,10064008.66,428895.26,,10492903.92,10064008.66,428895.26,10491235.41,,,,
14,300162.SZ,20160227,20160227,20151231,1,1,0.06,0.06,380790683.12,380790683.12,,,,,,,,,,,,,,,,8055406.91,-73059.1,,372431023.77,247521182.71,,,2468574.14,39355643.12,69080580.54,-10209850.85,24214894.11,,,,,,,,,,,16415066.26,8341790.4,1042609.09,600450.35,23714247.57,5409734.9,18304512.67,20194617.43,-1890104.76,,18304512.67,20194617.43,-1890104.76,11393057.29,51170287.5,,,
15,300162.SZ,20151023,20151023,20150930,1,1,0.0864,0.0864,256049002.36,256049002.36,,,,,,,,,,,,,,,,330835.99,,,230155931.38,163738751.88,,,1400329.35,28692428.08,46822045.45,-12618855.33,2121231.95,,,,,,,,,,,26223906.97,5172978.7,1021475.91,609317.17,30375409.76,4106441.7,26268968.06,28948499.0,-2679530.94,,26268968.06,28948499.0,-2679530.94,15395447.6,,,,
16,300162.SZ,20150820,20150820,20150630,1,1,0.06,0.06,167807203.99,167807203.99,,,,,,,,,,,,,,,,367906.14,,,151645419.1,110084870.17,,,991272.84,17475555.28,29247044.23,-6416886.51,263563.09,,,,,,,,,,,16529691.03,3732569.16,18074.7,,20244185.49,2652677.57,17591507.92,19825358.28,-2233850.36,,17591507.92,19825358.28,-2233850.36,10008461.47,23909550.7,,,
17,300162.SZ,20150424,20150424,20150331,1,1,0.052,0.052,71987904.18,71987904.18,,,,,,,,,,,,,,,,483210.01,,,66537608.86,47117429.69,,,668802.99,7937434.21,14289351.63,-3475409.66,,,,,,,,,,,,5933505.33,1714387.17,7707.71,,7640184.79,2075767.65,5564417.14,7028851.36,-1464434.22,,5564417.14,7028851.36,-1464434.22,1974885.66,,,,
18,300162.SZ,20150424,20150424,20141231,1,1,0.19,0.19,405053660.42,405053660.42,,,,,,,,,,,,,,,,1631816.03,1631816.03,,379266384.0,280408665.15,,,2402120.45,41019927.32,61903521.79,-6961443.44,493592.73,,,,,,,,,,,27419092.45,11813085.7,955351.91,,38276826.24,6197997.41,32078828.83,25771284.74,6307544.09,,32078828.83,25771284.74,6307544.09,19348332.98,52010380.96,,,
19,300162.SZ,20141022,20141022,20140930,1,1,0.1875,0.1875,313761121.87,313761121.87,,,,,,,,,,,,,,,,848375.99,,,286225154.96,213836405.35,,,2332648.13,32597312.81,44334556.8,-6835204.96,-40563.17,,,,,,,,,,,28384342.9,3959586.77,1254843.57,914470.22,31089086.1,2329222.77,28759863.33,25130569.82,3629293.51,,28759863.33,25130569.82,3629293.51,20660198.78,,,,
20,300162.SZ,20140802,20140802,20140630,1,1,0.14,0.14,200678657.28,200678657.28,,,,,,,,,,,,,,,,278263.09,,,182882361.85,135099683.5,,,1718141.57,22488956.99,28436378.96,-4820236.0,-40563.17,,,,,,,,,,,18074558.52,2104044.05,3920.3,2230.79,20174682.27,1148867.1,19025815.17,18832543.06,193272.11,,19025815.17,18832543.06,193272.11,12935496.26,28922948.57,,,
21,300162.SZ,20140423,20140423,20140331,1,1,0.045,0.045,76589520.89,76589520.89,,,,,,,,,,,,,,,,,,,71742626.81,51756553.14,,,8593.62,9111754.9,13030744.66,-2165019.51,,,,,,,,,,,,4846894.08,1520099.98,2107.15,,6364886.91,325497.61,6039389.3,6039389.3,,,6039389.3,6039389.3,,2681874.57,,,,
22,300162.SZ,20140329,20140329,20131231,1,1,0.13,0.13,350439343.72,350439343.72,,,,,,,,,,,,,,,,,,,342035003.31,240526656.25,,,1727104.04,37832972.24,55506191.25,-5767262.59,12209342.12,,,,,,,,,,,8404340.41,12593306.79,135623.09,48936.95,20862024.11,3485531.98,17376492.13,17430930.15,-54438.02,,17376492.13,17430930.15,-54438.02,2637077.82,29855462.74,,,
23,300162.SZ,20131026,20131026,20130930,1,1,0.12,0.12,232508619.33,232508619.33,,,,,,,,,,,,,,,,,,,221744710.04,155984423.58,,,2391777.49,27915870.19,37903801.09,-4397592.47,1946430.16,,,,,,,,,,,10763909.29,8828825.74,141144.8,,19451590.23,3137266.39,16314323.84,16368761.86,-54438.02,,16314323.84,16368761.86,-54438.02,8312746.98,,,,
24,300162.SZ,20130817,20130817,20130630,1,1,0.11,0.11,158309937.52,158309937.52,,,,,,,,,,,,,,,,,,,145669740.8,104682090.7,,,1718101.83,16597867.45,23760654.69,-3035404.03,1946430.16,,,,,,,,,,,12640196.72,5252179.32,136641.87,,17755734.17,3056593.78,14699140.39,14753578.41,-54438.02,,14699140.39,14753578.41,-54438.02,11551222.85,25262305.93,,,
25,300162.SZ,20130420,20130420,20130331,1,1,0.04,0.04,64657252.96,64657252.96,,,,,,,,,,,,,,,,,,,59619430.36,41569067.46,,,1030357.99,6848895.83,12192071.58,-2020962.5,,,,,,,,,,,,5037822.6,1562884.86,133481.77,,6467225.69,1006375.61,5460850.08,5513288.1,-52438.02,,5460850.08,5513288.1,-52438.02,3016860.1,,,,
26,300162.SZ,20130420,20130420,20121231,1,1,0.17,0.17,316345913.67,316345913.67,,,,,,,,,,,,,,,,,,,298670697.37,228527844.07,,,3019538.51,22360831.32,47012681.79,-12261273.71,10011075.39,,,,,,,,,,,17675216.3,7665525.07,470860.54,420092.83,24869880.83,2700511.93,22169368.9,22649063.18,-479694.28,,22169368.9,22649063.18,-479694.28,5413942.59,24457324.14,,,
27,300162.SZ,20121025,20121025,20120930,1,1,0.2,0.2,239129756.82,239129756.82,,,,,,,,,,,,,,,,,,,210833573.91,173387337.91,,,2028368.97,16154023.42,29386933.89,-10141583.49,18493.21,,,,,,,,,,,28296182.91,2170687.98,55018.76,,30411852.13,3651502.33,26760349.8,26885773.83,-125424.03,,26760349.8,26885773.83,-125424.03,18173092.63,,,,
28,300162.SZ,20120817,20120817,20120630,1,1,0.15,0.15,147867097.35,147867097.35,,,,,,,,,,,,,,,,,,,127652550.65,106748882.22,,,1055457.42,10185480.28,16976332.36,-7332094.84,18493.21,,,,,,,,,,,20214546.7,2684664.48,55018.76,,22844192.42,2729118.52,20115073.9,20115073.9,,,20115073.9,20115073.9,,12900945.07,21437817.31,,,
29,300162.SZ,20120425,20120425,20120331,1,1,0.04,0.04,55075582.84,55075582.84,,,,,,,,,,,,,,,,,,,50518697.32,38943666.04,,,497707.17,5273108.04,7258874.42,-1454658.35,,,,,,,,,,,,4556885.52,1588499.99,49817.71,,6095567.8,820161.1,5275406.7,5275406.7,,,5275406.7,5275406.7,,3102227.17,,,,
30,300162.SZ,20120331,20120331,20111231,1,1,0.25,0.25,263749973.73,263749973.73,,,,,,,,,,,,,,,,,,,228878189.33,189108974.91,,,52622.07,19349027.12,28812756.44,-11872019.57,3426828.36,,,,,,,,,,,34871784.4,4131294.98,155423.18,,38847656.2,5738450.36,33109205.84,33109205.84,,,33109205.84,33109205.84,,22999764.83,34402637.9,,,
31,300162.SZ,20111026,20111026,20110930,1,1,0.19,0.19,187255550.29,187255550.29,,,,,,,,,,,,,,,,,,,160471430.1,132465487.65,,,43851.73,12467708.64,17565373.08,-3389250.79,1318259.79,,,,,,,,,,,26784120.19,2561575.86,155423.18,,29190272.87,4037599.29,25152673.58,25152673.58,,,25152673.58,25152673.58,,24713129.19,,,,
32,300162.SZ,20110818,20110818,20110630,1,1,0.3,0.3,121699277.55,121699277.55,,,,,,,,,,,,,,,,,,,100557890.86,84053705.56,,,43851.73,7975324.1,10407149.64,-3215399.96,1293259.79,,,,,,,,,,,21141386.69,1899121.65,153423.18,,22887085.16,3306437.35,19580647.81,19580647.81,,,19580647.81,19580647.81,,17925986.73,23238148.55,,,
33,300162.SZ,20110423,20110423,20110331,1,1,0.08,0.08,40780249.18,40780249.18,,,,,,,,,,,,,,,,,,,35944155.61,28742270.86,,,,2435533.99,4296650.87,469699.89,,,,,,,,,,,,4836093.57,1239821.0,,,6075914.57,808168.72,5267745.85,5267745.85,,,5267745.85,5267745.85,,5305793.46,,,,
34,300162.SZ,20110330,20110330,20101231,1,1,0.78,0.78,206102620.58,206102620.58,,,,,,,,,,,,,,,,,,,163207669.36,130731512.06,,,279578.41,12230130.7,17714322.01,1048688.59,1203437.59,,,,,,,,,,,42894951.22,812776.0,,,43707727.22,4739927.24,38967799.98,38967799.98,,,38967799.98,38967799.98,,43943639.81,50068912.41,,,
35,300162.SZ,20110112,20110112,20100930,1,1,0.62,,143705009.04,143705009.04,,,,,,,,,,,,,,,,,,,109721799.5,88307095.55,,,230520.84,7406673.21,12006066.23,827393.6,944050.07,,,,,,,,,,,33983209.54,364786.0,,,34347995.54,3427725.75,30920269.79,30920269.79,,,,,,35754653.21,,,,
36,300162.SZ,20101224,20101224,20100630,1,1,0.38,0.38,87684305.53,87684305.53,,,,,,,,,,,,,,,,,,,67170775.73,53298554.06,,,136475.68,4962722.28,7603199.45,225774.19,944050.07,,,,,,,,,,,20513529.8,357486.0,,,20871015.8,2036275.34,18834740.46,18834740.46,,,18834740.46,18834740.46,,20739303.99,23131591.33,,,
37,300162.SZ,20110423,20110423,20100331,1,1,0.17,0.17,36909646.59,36909646.59,,,,,,,,,,,,,,,,,,,27448476.72,22373264.45,,,7918.52,1683150.04,3364434.14,19709.57,,,,,,,,,,,,9461169.87,,,,9461169.87,932785.5,8528384.37,8528384.37,,,8528384.37,8528384.37,,9480879.44,,,,
38,300162.SZ,20101224,20101224,20091231,1,1,0.46,0.46,101641745.55,101641745.55,,,,,,,,,,,,,,,,461043.05,,,79392952.14,61646792.24,,,11759.17,6614765.47,10384323.07,205410.95,529901.24,,,,,,,,,,,22709836.46,790135.0,49974.41,,23449997.05,2032055.96,21417941.09,21417941.09,,,21417941.09,21417941.09,,22454204.36,25997812.0,,,
39,300162.SZ,20110112,20110112,20090930,1,1,,,68891602.86,68891602.86,,,,,,,,,,,,,,,-132670.0,179728.46,,,54642062.62,42040617.38,,,909.35,4594201.97,7351707.17,157616.73,497010.02,,,,,,,,,,,14296598.7,488935.0,49974.41,,14735559.29,1230885.96,13504673.33,13504673.33,,,,,,14904166.99,,,,
40,300162.SZ,20101224,20101224,20081231,1,1,0.23,0.23,75646635.62,75646635.62,,,,,,,,,,,,,,,-228762.0,108997.55,,,64266474.36,47228224.79,,,3900.77,6459322.91,9408667.46,226908.67,939449.76,,,,,,,,,,,11260396.81,377829.0,26550.0,,11611675.81,904141.11,10707534.7,10707534.7,,,10707534.7,10707534.7,,11607069.93,14377664.04,,,
41,300162.SZ,20101224,20101224,20071231,1,1,0.36,0.36,71600707.77,71600707.77,,,,,,,,,,,,,,,156860.0,277533.23,,,55463544.07,42623910.71,,,3454.98,3748553.81,7492280.86,233896.29,1361447.42,,,,,,,,,,,16571556.93,37300.0,2600.0,,16606256.93,-255475.08,16861732.01,16861732.01,,,16861732.01,16861732.01,,16371059.99,17872731.26,,,
