,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit
0,600865.SH,20190427,20190427,20190331,1,1,0.151,0.151,224730021.61,224730021.61,,,,,,,,,,,,,,,42640965.27,-582657.28,-5222303.54,,194817312.71,163551859.96,,,3636856.55,11517403.9,17403796.31,-1451673.43,159069.42,,,,,,,,,,,75898775.73,15107.4,15965.0,,75897918.13,19143610.8,56754307.33,56754307.33,,,56754307.33,56754307.33,,,,,,
1,600865.SH,20190323,20190323,20181231,1,1,0.31,0.31,811823403.19,811823403.19,,,,,,,,,,,,,,,63448.51,50428210.61,-9959705.19,,723444856.64,570962614.77,,,16297298.22,57404229.04,73138504.2,5583272.45,58937.96,,,,,,,,,,,154751983.64,136222.43,5010000.0,,149878206.07,33440718.3,116437487.77,116437487.77,,-22113000.0,94324487.77,94324487.77,,110422515.46,154833255.6,,,
2,600865.SH,20181030,20181030,20180930,1,1,0.264,0.264,524509004.11,524509004.11,,,,,,,,,,,,,,,,50260898.38,-4576923.75,,462382731.05,358664195.34,,,10746828.22,41375052.92,46963266.39,4629067.58,4320.6,,,,,,,,,,,124908453.17,79747.28,450000.0,,124538200.45,25186844.22,99351356.23,99351356.23,,-10999800.0,88351556.23,88351556.23,,79458140.15,,,,
3,600865.SH,20180809,20180809,20180630,1,1,0.23,0.23,385214271.51,385214271.51,,,,,,,,,,,,,,,19666.81,47432693.84,3841145.61,,334282573.53,263834062.39,,,7485301.27,26636789.24,31970014.75,4305083.43,51322.45,,,,,,,,,,,105782474.44,56175.26,,,105838649.7,18972328.37,86866321.33,86866321.33,,-8316000.0,78550321.33,78550321.33,,62655041.91,81364203.21,,,
4,600865.SH,20180428,20180428,20180331,1,1,0.081,0.081,217587288.14,217587288.14,,,,,,,,,,,,,,,8435.09,9698859.34,479387.15,,190996423.97,151716094.98,,,4187050.44,13346219.4,19546550.96,2178331.32,22176.87,,,,,,,,,,,38769189.43,1188845.66,,,39958035.09,9503692.4,30454342.69,30454342.69,,-4536000.0,25918342.69,25918342.69,,31265161.86,,,,
5,600865.SH,20180421,20180421,20171231,1,1,0.13,0.13,956070765.05,956070765.05,,,,,,,,,,,,,,,,-35167953.32,-58366829.42,,852982680.53,699738472.96,,,16452258.75,58699765.64,76568740.44,1078966.06,444476.68,,,,,,,,,,,84733285.63,68182.03,100.0,,84801367.66,36432075.78,48369291.88,48369291.88,,-64908000.0,-16538708.12,-16538708.12,,121053752.27,159535623.98,,,
6,600865.SH,20171028,20171028,20170930,1,1,0.155,0.155,672693088.44,672693088.44,,,,,,,,,,,,,,,,-6488461.55,-35513935.94,,594288766.48,491032102.15,,,11172080.62,41410190.69,50413740.64,327853.28,-67200.9,,,,,,,,,,,79337228.91,5813477.77,15228.05,15128.05,85135478.63,26999550.46,58135928.17,58135928.17,,-19548000.0,38587928.17,38587928.17,,86086342.84,,,,
7,600865.SH,20170826,20170826,20170630,1,1,0.09,0.09,492796268.1,492796268.1,,,,,,,,,,,,,,,,-7697540.05,-27127424.1,,438438974.13,362725966.39,,,7411725.13,27015836.77,39858063.66,686761.82,740620.36,,,,,,,,,,,51607332.92,2259522.11,7388.07,5222.07,53859466.96,18744882.36,35114584.6,35114584.6,,-2160000.0,32954584.6,32954584.6,,59991634.79,79252131.71,,,
8,600865.SH,20170427,20170427,20170331,1,1,0.04,0.04,278135919.56,278135919.56,,,,,,,,,,,,,,,,-9086773.03,-17101133.24,,248160778.02,206201493.18,,,4108508.49,13759890.29,22602943.64,841496.62,646445.8,,,,,,,,,,,20888368.51,3617373.56,3190.94,3190.94,24502551.13,9296806.72,15205744.41,15205744.41,,23625000.0,38830744.41,38830744.41,,,,,,
9,600865.SH,20170331,20170331,20161231,1,1,0.25,0.25,1070594107.14,1070594107.14,,,,,,,,,,,,,,,,8225548.12,-23861364.43,,971810279.9,790033863.44,,,18286828.6,67826282.71,92441999.72,3516066.29,-294760.86,,,,,,,,,,,107009375.36,24547651.17,1443873.46,789023.6,130113153.07,37675116.87,92438036.2,92438036.2,,181566877.5,274004913.7,274004913.7,,102299893.53,140453003.12,,,
10,600865.SH,20161029,20161029,20160930,1,1,0.247,0.247,692662399.12,692662399.12,,,,,,,,,,,,,,,,23804230.17,-2732624.75,,612059835.21,494400548.42,,,11212561.92,40613294.46,62911744.63,2760568.86,161116.92,,,,,,,,,,,104406794.08,19941057.73,1293120.52,713252.55,123054731.29,30142138.87,92912592.42,92912592.42,,,92912592.42,92912592.42,,,,,,
11,600865.SH,20160820,20160820,20160630,1,1,0.159,0.159,493400005.67,493400005.67,,,,,,,,,,,,,,,,16224989.84,-2304940.1,,440540362.19,364039450.09,,,7869569.93,26035764.95,40543626.79,2268750.47,-216800.04,,,,,,,,,,,69084633.32,11686781.2,1106298.74,678526.41,79665115.78,19874095.32,59791020.46,59791020.46,,,59791020.46,59791020.46,,55053393.95,74178511.99,,,
12,600865.SH,20160427,20160427,20160331,1,1,0.078,0.078,274323199.6,274323199.6,,,,,,,,,,,,,,,,7119167.59,-2218204.95,,246187640.34,202882929.57,,,4493707.66,12618057.06,24350309.84,1171361.97,671274.24,,,,,,,,,,,35254726.85,3496583.06,276123.2,1800.0,38475186.71,9297752.72,29177433.99,29177433.99,,,29177433.99,29177433.99,,29978195.47,,,,
13,600865.SH,20160331,20160331,20151231,1,1,0.37,0.37,1102814412.4,1102814412.4,,,,,,,,,,,,,,,,34876845.84,6177772.27,,986702307.46,795873082.79,,,22573313.56,60207535.67,112569510.34,4464748.2,-8985883.1,,,,,,,,,,,150988950.78,36996904.72,5481700.57,4228923.67,182504154.93,41872762.11,140631392.82,140631392.82,,,140631392.82,140631392.82,,120576853.14,156991925.28,,,
14,600865.SH,20151031,20151031,20150930,1,1,0.276,0.276,752524510.49,752524510.49,,,,,,,,,,,,,,,,29614916.65,-6862588.78,,651433952.04,522945262.05,,,16240797.91,40556588.31,78686112.19,2014016.02,-9008824.44,,,,,,,,,,,130705475.1,9515738.69,4880489.45,4128002.46,135340724.34,31485921.11,103854803.23,103854803.23,,,103854803.23,103854803.23,,94095750.03,,,,
15,600865.SH,20150805,20150805,20150630,1,1,0.1757,0.1757,529934829.8,529934829.8,,,,,,,,,,,,,,,250022.5,23704736.27,-5713589.53,,471515094.86,381498240.37,,,10881235.25,26759096.32,51520304.68,1178549.9,-322331.66,,,,,,,,,,,82374493.71,7352824.79,4635035.91,4105129.17,85092282.59,18987284.77,66104997.82,66104997.82,,,66104997.82,66104997.82,,59598284.84,77983922.04,,,
16,600865.SH,20150430,20150430,20150331,1,1,0.092,0.092,291730003.1,291730003.1,,,,,,,,,,,,,,,,10136668.86,-2773730.98,,259925699.32,210124203.21,,,5571874.48,13403390.75,29358709.46,632435.02,835086.4,,,,,,,,,,,41940972.64,2147481.56,296860.46,5130.47,43791593.74,9177029.58,34614564.16,34614564.16,,,34614564.16,34614564.16,,33271825.2,,,,
17,600865.SH,20150413,20150413,20141231,1,1,0.41,0.41,1051799183.14,1051799183.14,,,,,,,,,,,,,,,,45149110.17,-16492849.03,,905124151.45,765973961.19,,,23189697.87,53198392.0,105948108.66,4435638.75,-47621647.02,,,,,,,,,,,191824141.86,4529062.23,1632929.72,396105.43,194720274.37,39123764.03,155596510.34,155596510.34,,,155596510.34,155596510.34,,151185670.44,185364949.17,,,
18,600865.SH,20141031,20141031,20140930,1,1,0.338,0.338,688989638.64,688989638.64,,,,,,,,,,,,,,,,32980816.04,-13145257.61,,565870397.72,496830797.31,,,15726421.14,36338439.93,60610045.21,3234713.94,-46870019.81,,,,,,,,,,,156100056.96,171427.29,800228.52,84713.6,155471255.73,28194194.41,127277061.32,127277061.32,,,127277061.32,127277061.32,,79483935.05,,,,
19,600865.SH,20140812,20140812,20140630,1,1,0.246,0.246,527778070.95,527778070.95,,,,,,,,,,,,,,,,24128837.9,-3806397.65,,438086748.24,382335778.03,,,11160884.6,25094743.47,47274728.13,2737138.33,-30516524.32,,,,,,,,,,,113820160.61,155540.88,598470.05,70692.33,113377231.44,20803055.6,92574175.84,92574175.84,,,,,,92428461.04,109074473.9,,,
20,600865.SH,20140429,20140429,20140331,1,1,0.147,0.147,300476589.83,300476589.83,,,,,,,,,,,,,,,,10701092.98,,,244779430.09,221175401.17,,,5828228.3,14736538.83,25309238.75,1224579.45,-23494556.41,,,,,,,,,,,66398252.72,12895.05,318100.4,17624.18,66093047.37,10811932.67,55281114.7,55281114.7,,,55281114.7,55281114.7,,33427182.78,,,,
21,600865.SH,20140329,20140329,20131231,1,1,0.32,0.32,1234017130.76,1234017130.76,,,,,,,,,,,,,,,,132820253.32,-13498091.16,,1220345199.15,938779716.84,,,26361869.49,81209561.58,113423408.72,3272730.41,57297912.11,,,,,,,,,,,146492184.93,5833217.62,3480719.56,2016787.56,148844682.99,34937445.58,113907237.41,121960231.81,-8052994.4,,113907237.41,121960231.81,-8052994.4,16944662.02,52620300.85,,,
22,600865.SH,20131031,20131031,20130930,1,1,0.162,0.162,903573892.51,903573892.51,,,,,,,,,,,,,,,,3754918.43,,,837307939.12,683197170.08,,,19994003.32,58976468.32,73565266.85,1138888.49,436142.06,,,,,,,,,,,70020871.82,767541.19,994871.95,11383.2,69793541.06,21771472.15,48022068.91,60978944.19,-12956875.28,,48022068.91,60978944.19,-12956875.28,67840983.94,,,,
23,600865.SH,20130817,20130817,20130630,1,1,0.117,0.117,685314422.35,685314422.35,,,,,,,,,,,,,,,,3436821.92,,,639230094.76,524839722.35,,,15932200.77,41458346.89,56023414.66,298172.91,678237.18,,,,,,,,,,,49521149.51,717000.87,756512.47,11383.2,49481637.91,15309632.98,34172004.93,44098981.42,-9926976.49,,,,,46382500.5,63941300.66,,,
24,600865.SH,20130427,20130427,20130331,1,1,0.06,0.06,357292627.29,357292627.29,,,,,,,,,,,,,,,,-692747.96,,,331968005.0,272059939.14,,,6738493.76,21017111.84,30037577.13,932051.83,1182831.3,,,,,,,,,,,24631874.33,566449.0,399226.68,,24799096.65,8059658.64,16739438.01,21515564.16,-4776126.15,,,,,27439505.42,,,,
25,600865.SH,20130323,20130323,20121231,1,1,0.23,0.23,1225265405.88,1225265405.88,,,,,,,,,,,,,,,,4963279.64,,,1140430500.07,944375428.27,,,23145612.89,72729537.22,99156552.64,1080531.12,-57162.07,,,,,,,,,,,89798185.45,25333683.35,13559996.58,11618698.16,101571872.22,22450495.34,79121376.88,86979382.68,-7858005.8,,79121376.88,86979382.68,-7858005.8,85915436.93,122176576.9,,,
26,600865.SH,20121030,20121030,20120930,1,1,0.16,0.16,853294374.84,853294374.84,,,,,,,,,,,,,,,,3373810.0,,,778935141.84,655009355.47,,,15810758.51,47847717.89,61487858.69,-1657257.46,436708.74,,,,,,,,,,,77733043.0,12300482.22,9670301.38,8102810.97,80363223.84,21608368.05,58754855.79,61828858.68,-3074002.89,21937500.0,80692355.79,83766358.68,-3074002.89,73138684.28,,,,
27,600865.SH,20120810,20120810,20120630,1,1,0.113,0.113,622106295.56,622106295.56,,,,,,,,,,,,,,,,3080000.0,,,568397270.61,484514641.49,,,10633779.3,30668556.87,42417478.18,332028.96,-169214.19,,,,,,,,,,,56789024.95,3353431.77,933187.05,10206.28,59209269.67,17142848.91,42066420.76,42524879.98,-458459.22,,,,,54041053.91,70494393.0,,,
28,600865.SH,20120427,20120427,20120331,1,1,0.06,0.06,352116484.99,352116484.99,,,,,,,,,,,,,,,,,,,324044982.54,277594606.06,,,5249223.73,14435174.44,26374491.72,-13742.07,405228.66,,,,,,,,,,,28071502.45,303967.6,402458.95,,27973011.1,7418007.81,20555003.29,20943852.0,-388848.71,,,,,28462989.04,,,,
29,600865.SH,20120328,20120328,20111231,1,1,0.21,0.21,1297644083.32,1297644083.32,,,,,,,,,,,,,,,,3560000.0,,,1199163083.4,1008886682.86,,,24049395.71,65379386.46,97605625.95,3242873.39,-880.97,,,,,,,,,,,102040999.92,3236079.27,1040509.74,289063.76,104236569.45,27413587.67,76822981.78,78752309.55,-1929327.77,,76822981.78,78752309.55,-1929327.77,101723873.31,132660540.34,,,
30,600865.SH,20111029,20111029,20110930,1,1,0.18,0.18,897571401.71,897571401.71,,,,,,,,,,,,,,,,3560000.0,,,813624395.71,689435216.38,,,16676896.7,42482319.74,61864324.73,2461453.71,704184.45,,,,,,,,,,,87507006.0,2587113.95,1083503.88,11111.76,89010616.07,22837633.01,66172983.06,67473763.38,-1300780.32,,,,,87112644.16,,,,
31,600865.SH,20110806,20110806,20110630,1,1,0.125,0.125,636203215.25,636203215.25,,,,,,,,,,,,,,,,3000000.0,,,578480781.45,490574924.25,,,11017039.22,27148976.0,48294897.39,1818742.71,-373798.12,,,,,,,,,,,60722433.8,2083994.95,671651.46,11014.09,62134777.29,15459051.72,46675725.57,47106119.66,-430394.09,,,,,59541176.51,72986457.04,,,
32,600865.SH,20110429,20110429,20110331,1,1,0.06,0.06,364761110.24,364761110.24,,,,,,,,,,,,,,,,,,,337064121.34,286445707.87,,,5931037.36,14858576.89,28372381.08,1193027.39,263390.75,,,,,,,,,,,27696988.9,1920554.1,366135.05,920.4,29251407.95,7604341.46,21647066.49,21786145.2,-139078.71,,,,,29153407.04,,,,
33,600865.SH,20110326,20110326,20101231,1,1,0.21,0.21,1178958634.63,1178958634.63,,,,,,,,,,,,,,,,16032798.86,,,1089258991.75,907460151.61,,,19907975.79,56962285.24,102448978.65,2593155.4,-113554.94,,,,,,,,,,,105732441.74,2275672.09,4576811.58,344433.53,103431302.25,25785697.24,77645605.01,78326186.0,-680580.99,,77645605.01,78326186.0,-680580.99,92292798.28,118988441.36,,,
34,600865.SH,20101026,20101026,20100930,1,1,0.18,0.18,790507343.1,790507343.1,,,,,,,,,,,,,,,,15592798.86,,,717192105.92,599840223.43,,,13558346.98,35951380.48,66782989.97,863247.42,195917.64,,,,,,,,,,,88908036.04,307385.4,205664.42,30160.75,89009757.02,23664159.76,65345597.26,65863433.4,-517836.14,,,,,74374402.24,,,,
