,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit
0,300457.SZ,20190426,20190426,20190331,1,1,0.19,0.19,457608693.35,457608693.35,,,,,,,,,,,,,,,,3371657.81,19714.33,,379905803.52,275267760.7,,,5811547.78,19154790.36,24097571.78,9737070.91,21175279.86,,,,,,,,,,,94208892.87,186760.74,138374.0,,94257279.61,15097262.11,79160017.5,70713605.91,8446411.59,,79160017.5,70713605.91,8446411.59,,,,,
1,300457.SZ,20190402,20190402,20181231,1,1,0.92,0.92,2087285066.16,2087285066.16,,,,,,,,,,,,,,,,15263672.94,196.64,,1776507521.06,1402639765.31,,,18504798.9,63358185.18,87108919.78,30653726.26,49074705.74,,,,,,,,,,,376755015.0,4501140.07,1634154.96,,379622000.11,49129934.03,330492066.08,324515917.96,5976148.12,,330492066.08,324515917.96,5976148.12,393059280.37,433194800.54,,,
2,300457.SZ,20181025,20181025,20180930,1,1,0.6048,0.6048,1366098014.26,1366098014.26,,,,,,,,,,,,,,,,9994667.58,,,1165087166.99,898175551.19,,,11898743.99,47690468.28,65287600.59,19992498.38,28659812.18,,,,,,,,,,,244328749.48,4086776.72,2026194.41,,246389331.79,36597404.32,209791927.47,208106543.32,1685384.15,,209791927.47,208106543.32,1685384.15,283815294.23,,,,
3,300457.SZ,20180816,20180816,20180630,1,1,0.51,0.51,991228915.64,991228915.64,,,,,,,,,,,,,,,,5980554.59,,,808054857.17,644516026.78,,,9151916.19,29066341.03,96124839.51,17273628.13,11922105.53,,,,,,,,,,,207166147.72,372739.18,1665994.95,,205872891.95,32695072.83,173177819.12,170017837.48,3159981.64,,173177819.12,170017837.48,3159981.64,218451550.32,236931531.07,,,
4,300457.SZ,20180424,20180424,20180331,1,1,0.19,0.19,385597719.72,385597719.72,,,,,,,,,,,,,,,,2648335.84,,,330145517.15,241291467.21,,,4414841.14,11834024.77,44965134.06,8082976.97,19557073.0,,,,,,,,,,,70490005.13,323352.0,184542.92,,70628814.21,8681211.88,61947602.33,60174396.03,1773206.3,,61947602.33,60174396.03,1773206.3,95481719.26,,,,
5,300457.SZ,20180424,20180424,20171231,1,1,0.72,0.72,1586331194.25,1586331194.25,,,,,,,,,,,,,,,,18618790.0,,,1395704427.11,1071585164.47,,,15478301.7,56889209.89,177394938.84,23984442.13,50372370.08,,,,,,,,,,,251161623.36,1952213.24,249655.92,,252864180.68,27233287.53,225630893.15,220916395.59,4714497.56,108995.77,225739888.92,221025391.36,4714497.56,214611209.27,244347311.19,,,
6,300457.SZ,20180424,20180424,20171231,1,1,0.72,0.72,1586331194.25,1586331194.25,,,,,,,,,,,,,,,,18618790.0,,,1395704427.11,1071585164.47,,,15478301.7,56889209.89,177394938.84,23984442.13,50372370.08,,,,,,,,,,,251161623.36,1952213.24,249655.92,,252864180.68,27233287.53,225630893.15,220916395.59,4714497.56,108995.77,225739888.92,221025391.36,4714497.56,256576823.57,286312925.49,,,
7,300457.SZ,20171024,20171024,20170930,1,1,0.4533,0.4533,1186338324.85,1186338324.85,,,,,,,,,,,,,,,,59610.0,,,1049757543.83,829554518.64,,,9692599.9,37210965.41,116813451.18,21574268.81,34911739.89,,,,,,,,,,,154798234.58,12543156.89,1131232.95,271313.81,166210158.52,19529711.49,146680447.03,140471523.82,6208923.21,30290.64,146710737.67,140500265.56,6210472.11,211224633.28,,,,
8,300457.SZ,20170822,20170822,20170630,1,1,0.94,0.94,736852723.75,736852723.75,,,,,,,,,,,,,,,,10035.0,,,621188428.24,483833344.44,,,7024571.3,22822611.18,74023935.52,9239137.72,24244828.08,,,,,,,,,,,123808472.78,10125204.11,722406.54,,133211270.35,14180020.64,119031249.71,114327600.04,4703649.67,11330.7,119042580.41,114341173.83,4701406.58,133037575.5,148392116.35,,,
9,300457.SZ,20170425,20170425,20170331,1,1,0.31,0.31,242248067.6,242248067.6,,,,,,,,,,,,,,,,,,,213228865.02,162664380.03,,,2064014.17,7589911.17,23186806.1,2861049.7,14862703.85,,,,,,,,,,,29019202.58,9098493.71,11024.93,,38106671.36,1727450.3,36379221.06,37510116.28,-1130895.22,,36379221.06,37510116.28,-1130895.22,,,,,
