,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit
0,600827.SH,20190430,20190430,20190331,1,1,0.18,0.18,14241338291.25,14241338291.25,,,,,,,,,,,,,,,-7155.0,128323365.4,8276522.49,,13689903583.77,11388850946.91,,,100019293.74,1596008604.44,655535325.59,-52535477.95,-7554.48,,,,,,,,,,,688009131.83,11954795.5,3611885.53,,696352041.8,216230835.63,480121206.17,328634018.45,151487187.72,1004406227.84,1484527434.01,1333040246.29,151487187.72,507303763.09,,,,
1,600827.SH,20190430,20190430,20190331,1,1,0.18,0.18,14241338291.25,14241338291.25,,,,,,,,,,,,,,,-7155.0,128323365.4,8276522.49,,13689903583.77,11388850946.91,,,100019293.74,1596008604.44,655535325.59,-52535477.95,-7554.48,,,,,,,,,,,688009131.83,11954795.5,3611885.53,,696352041.8,216230835.63,480121206.17,328634018.45,151487187.72,1004406227.84,1484527434.01,1333040246.29,151487187.72,,,,,
2,600827.SH,20190430,20190430,20181231,1,1,0.49,0.49,48426713008.42,48426713008.42,,,,,,,,,,,,,,,-15003815.34,209056188.95,22109811.53,,47388709058.64,38291817049.64,,,377240621.94,6459205534.46,2330047020.76,-101285336.49,21937875.31,,,,,,,,,,,1435772057.45,218966129.57,92258570.32,,1562479616.7,655785880.02,906693736.68,872099090.5,34594646.18,-900450894.73,6242841.95,-30136318.49,36379160.44,1061058300.77,2262853828.39,,,
3,600827.SH,20190430,20190430,20181231,1,1,0.49,0.49,48426713008.42,48426713008.42,,,,,,,,,,,,,,,-15003815.34,209056188.95,22109811.53,,47388709058.64,38291817049.64,,,377240621.94,6459205534.46,2330047020.76,-101285336.49,21937875.31,,,,,,,,,,,1435772057.45,218966129.57,92258570.32,,1562479616.7,655785880.02,906693736.68,872099090.5,34594646.18,-900450894.73,6242841.95,-30136318.49,36379160.44,,,,,
4,600827.SH,20181031,20181031,20180930,1,1,0.39,0.39,35770802149.69,35770802149.69,,,,,,,,,,,,,,,-9286201.4,233690377.35,39973123.78,,34778149770.81,28100836968.29,,,274791548.54,4767605203.08,1707597459.5,-64830692.55,-7850716.05,,,,,,,,,,,1250566578.34,88698570.99,33276336.71,,1305988812.62,487545728.16,818443084.46,700488363.43,117954721.03,-833299995.37,-14856910.91,-132811631.94,117954721.03,967934805.07,,,,
5,600827.SH,20180828,20180828,20180630,1,1,0.33,0.33,24836119058.79,24836119058.79,,,,,,,,,,,,,,,-9286201.4,215418101.67,32168884.03,,23920780328.84,19537870766.18,,,191257629.06,3119403607.28,1129358158.94,-49478748.97,-7631083.65,,,,,,,,,,,1119314762.28,66449548.09,26220341.94,306160.09,1159543968.43,361939313.13,797604655.3,590828613.19,206776042.11,-844532860.86,-46928205.56,-253704247.67,206776042.11,866603280.98,1437602035.47,,,
6,600827.SH,20180828,20180828,20180630,1,1,0.33,0.33,24836119058.79,24836119058.79,,,,,,,,,,,,,,,-9286201.4,215418101.67,32168884.03,,23920780328.84,19537870766.18,,,191257629.06,3119403607.28,1129358158.94,-49478748.97,-7631083.65,,,,,,,,,,,1119314762.28,66449548.09,26220341.94,306160.09,1159543968.43,361939313.13,797604655.3,590828613.19,206776042.11,-844532860.86,-46928205.56,-253704247.67,206776042.11,878617603.76,1449616358.25,,,
7,600827.SH,20180428,20180428,20180331,1,1,0.17,0.17,13558298942.09,13558298942.09,,,,,,,,,,,,,,,-229180.82,123701844.84,25820274.77,,13044228205.82,10793776808.75,,,101332545.94,1579436109.0,600703940.35,-28262281.28,-2758916.94,,,,,,,,,,,638983020.62,34815606.91,9092124.27,,664706503.26,192310562.58,472395940.68,308887153.54,163508787.14,-315281566.07,157114374.61,-6394412.53,163508787.14,491794477.96,,,,
8,600827.SH,20180428,20180428,20171231,1,1,0.47,0.47,47181121375.62,47181121375.62,,,,,,,,,,,,,,,-26032.36,642535680.88,47756970.9,,46372553329.81,37158400203.77,,,359534846.48,6691799709.38,2205328481.76,-107721986.9,65212075.32,,,,,,,,,,,1576897211.37,227371671.17,206367790.91,,1597901091.63,740254441.63,857646650.0,847048045.66,10598604.34,-447260674.83,410385975.17,389618634.89,20767340.28,797722654.7,2018152965.13,,,
9,600827.SH,20171031,20171031,20170930,1,1,0.38,0.38,35089438100.71,35089438100.71,,,,,,,,,,,,,,,22448217.58,228479067.76,52903256.7,,34241745715.26,27516027840.94,,,270894614.56,4915462334.32,1629982061.35,-110273395.86,19652259.95,,,,,,,,,,,1140489089.3,167686680.34,92146933.94,26681046.73,1216028835.7,464619783.83,751409051.87,679791588.15,71617463.72,-125187786.15,626221265.72,542118162.76,84103102.96,798940668.05,,,,
