,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit
0,300066.SZ,20190426,20190426,20190331,1,1,0.0204,0.0204,145630347.66,145630347.66,,,,,,,,,,,,,,,,7849216.04,7849216.04,,135186223.39,96954299.82,,,2399984.59,15318098.76,10312912.4,-1532266.32,,,,,,,,,,,,23347995.79,65745.42,89840.81,,23323900.4,1434960.57,21888939.83,21186244.77,702695.06,,21888939.83,21186244.77,702695.06,,,,,
1,300066.SZ,20190329,20190329,20181231,1,1,0.094,0.094,687188055.84,687188055.84,,,,,,,,,,,,,,,,37720973.92,22776466.88,,631245452.18,454139285.45,,,8789555.76,73749891.99,40841898.42,-11389763.66,25578688.29,,,,,,,,,,,115879927.17,150574.24,282432.75,,115748068.66,13707902.01,102040166.65,97802016.54,4238150.11,,102040166.65,97802016.54,4238150.11,74941756.44,103273719.62,,,
2,300066.SZ,20181023,20181023,20180930,1,1,0.0798,0.0798,496331556.79,496331556.79,,,,,,,,,,,,,,,,30649235.43,21756738.94,,445415448.0,329278594.92,,,6513010.9,51659756.29,30638712.37,-9538848.44,8564004.33,,,,,,,,,,,88515541.33,7416408.05,70500.0,,95861449.38,9795090.71,86066358.67,82978387.33,3087971.34,,86066358.67,82978387.33,3087971.34,56897462.32,,,,
3,300066.SZ,20180817,20180817,20180630,1,1,0.0401,0.0401,311073271.25,311073271.25,,,,,,,,,,,,,,,,16773904.35,12701094.83,,293297801.62,212318853.62,,,4365201.05,33856837.06,39730753.06,-5537847.5,8564004.33,,,,,,,,,,,40907242.91,5857646.14,30000.0,,46734889.05,4878973.06,41855915.99,41692339.05,163576.94,,41855915.99,41692339.05,163576.94,18599506.4,32413584.14,,,
4,300066.SZ,20180427,20180427,20180331,1,1,0.0171,0.0171,141891104.8,141891104.8,,,,,,,,,,,,,,,,5843390.77,4343390.76,,132820635.89,95583552.52,,,2056656.72,16707914.13,20153979.63,-1677432.11,-4035.0,,,,,,,,,,,18034385.87,1633570.99,30000.0,,19637956.86,2172091.1,17465865.76,17797827.38,-331961.62,,17465865.76,17797827.38,-331961.62,10509527.99,,,,
5,300066.SZ,20180403,20180403,20171231,1,1,0.076,0.076,610367498.27,610367498.27,,,,,,,,,,,,,,,,25360504.4,17928241.91,,567161299.09,399386631.36,,,8211000.69,74551618.21,76191213.72,-7716403.28,16537238.39,,,,,,,,,,,79361287.54,15983035.91,1648.0,,95342675.45,13036316.61,82306358.84,79093562.17,3212796.67,,82306358.84,79093562.17,3212796.67,53831147.68,80927024.83,,,
6,300066.SZ,20171027,20171027,20170930,1,1,0.0612,0.0612,424908664.86,424908664.86,,,,,,,,,,,,,,,,18178991.73,13847493.51,,391051228.91,280646023.87,,,5873102.57,50400454.81,55368960.84,-5943771.09,4706457.91,,,,,,,,,,,60545619.75,14743173.63,84610.74,84010.74,75204182.64,9326029.6,65878153.04,63622858.49,2255294.55,,65878153.04,63622858.49,2255294.55,41129314.84,,,,
7,300066.SZ,20170818,20170818,20170630,1,1,0.0427,0.0427,266969603.12,266969603.12,,,,,,,,,,,,,,,,12902813.88,9983153.33,,246647529.64,174602671.63,,,3390894.66,30988003.67,37138112.42,-4178610.65,4706457.91,,,,,,,,,,,33224887.36,19253913.57,84010.74,84010.74,52394790.19,6807440.44,45587349.75,44457746.07,1129603.68,,45587349.75,44457746.07,1129603.68,16143462.83,29310398.07,,,
8,300066.SZ,20170427,20170427,20170331,1,1,0.0207,0.0207,126224747.99,126224747.99,,,,,,,,,,,,,,,,7728576.62,6674514.42,,118333988.72,81178439.37,,,1776062.6,17585942.81,20211095.11,-2417551.17,,,,,,,,,,,,15619335.89,8552749.45,5286.88,5286.88,24166798.46,2819046.04,21347752.42,21560013.34,-212260.92,,21347752.42,21560013.34,-212260.92,,,,,
9,300066.SZ,20170316,20170316,20161231,1,1,0.1284,0.1284,695124138.59,695124138.59,,,,,,,,,,,,,,,,25016767.64,20148515.4,,586456648.6,427261960.61,,,10257268.52,74517501.85,71458239.6,-12314996.2,15276674.22,,,,,,,,,,,133684257.63,26551356.87,95895.7,85429.45,160139718.8,23416734.27,136722984.53,133576309.72,3146674.81,,136722984.53,133576309.72,3146674.81,101690146.44,127665963.16,,,
10,300066.SZ,20161025,20161025,20160930,1,1,0.1092,0.1092,492391490.22,492391490.22,,,,,,,,,,,,,,,,18959691.55,16674367.7,,400268445.29,300670899.18,,,4429131.46,49345831.28,50125142.07,-8732330.18,4429771.48,,,,,,,,,,,111082736.48,22590698.19,29933.68,23067.43,133643500.99,16541137.99,117102363.0,113612590.85,3489772.15,,117102363.0,113612590.85,3489772.15,,,,,
11,300066.SZ,20160819,20160819,20160630,1,1,0.07,0.07,321313048.34,321313048.34,,,,,,,,,,,,,,,,12097518.72,10486917.01,,261955627.71,196587203.83,,,2693023.71,32061609.05,32239461.68,-6055442.04,4429771.48,,,,,,,,,,,71454939.35,15582969.2,17233.68,17067.43,87020674.87,11646640.05,75374034.82,73825431.41,1548603.41,,75374034.82,73825431.41,1548603.41,53301978.59,66081978.09,,,
12,300066.SZ,20160423,20160423,20160331,1,1,0.067,0.067,150619548.94,150619548.94,,,,,,,,,,,,,,,,2472927.06,2135721.58,,124457415.5,93597955.21,,,1240814.63,19246035.58,12963999.86,-2591389.78,,,,,,,,,,,,28635060.5,3836955.67,11039.71,11039.71,32460976.46,4807092.45,27653884.01,27751779.68,-97895.67,,27653884.01,27751779.68,-97895.67,23570743.66,,,,
