,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit
0,002838.SZ,20190424,20190424,20190331,1,1,0.14,0.14,673151374.01,673151374.01,,,,,,,,,,,,,,,-30253.26,116557.8,,,630314680.5,574011934.17,,,2681525.77,18338450.35,7936635.43,5291742.76,3240078.56,,,,,,,,,,,44693367.21,136986.29,97573.11,,44732780.39,5710314.44,39022465.95,36220394.19,2802071.76,,39022465.95,36220394.19,2802071.76,,,,,
1,002838.SZ,20190424,20190424,20181231,1,1,0.49,0.49,1362533227.62,1362533227.62,,,,,,,,,,,,,,,-135967.55,11370476.17,5795074.09,,1243907440.57,1124692799.07,,,5718894.69,40808143.26,25397766.97,6896413.8,35234.01,,,,,,,,,,,139919146.6,250525.01,72732.36,,140096939.25,15667183.72,124429755.53,122424544.56,2005210.97,,124429755.53,122424544.56,2005210.97,135331203.26,163797928.53,,,
2,002838.SZ,20190424,20190424,20181231,1,1,0.49,0.49,1362533227.62,1362533227.62,,,,,,,,,,,,,,,-135967.55,11370476.17,5795074.09,,1243907440.57,1124692799.07,,,5718894.69,40808143.26,25397766.97,6896413.8,35234.01,,,,,,,,,,,139919146.6,250525.01,72732.36,,140096939.25,15667183.72,124429755.53,122424544.56,2005210.97,,124429755.53,122424544.56,2005210.97,,,,,
3,002838.SZ,20181025,20181025,20180930,1,1,0.348,0.348,802394994.99,802394994.99,,,,,,,,,,,,,,,-96927.17,10525855.14,-3236299.62,,718571906.06,647050284.45,,,3115992.55,25406807.59,18107838.29,2387875.78,397501.87,,,,,,,,,,,100117600.83,1043050.0,47426.33,,101113224.5,13411024.25,87702200.25,87702200.25,,,87702200.25,87702200.25,,92218154.52,,,,
4,002838.SZ,20180820,20180820,20180630,1,1,0.22,0.22,535092357.06,535092357.06,,,,,,,,,,,,,,,3100.0,-145910.55,-1453188.56,,476391307.39,429470491.55,,,2021522.01,16567495.68,26511582.92,1360172.7,460042.53,,,,,,,,,,,62959449.57,709100.0,47426.33,,63621123.24,7699156.82,55921966.42,55921966.42,0.0,,55921966.42,55921966.42,,64215509.05,75698601.19,,,
5,002838.SZ,20180424,20180424,20180331,1,1,0.2,0.2,246708072.32,246708072.32,,,,,,,,,,,,,,,27216.68,341273.23,-426467.75,,220041854.88,197511441.28,,,874542.47,7823916.99,12689545.14,491106.19,651302.81,,,,,,,,,,,28702659.41,608600.0,42723.13,,29268536.28,4292585.02,24975951.26,24975951.26,,,24975951.26,24975951.26,,29264027.7,,,,
6,002838.SZ,20180327,20180327,20171231,1,1,0.74,0.74,934085267.69,934085267.69,,,,,,,,,,,,,,,-5520.0,-3482927.31,-5954520.69,,830736079.77,742138887.54,,,4565496.99,32225933.19,48660760.24,1727537.07,1417464.74,,,,,,,,,,,105168320.79,5376679.94,11869.83,,110533130.9,14794307.12,95738823.78,93797768.07,1941055.71,,95738823.78,93797768.07,1941055.71,110544274.41,131253015.0,,,
7,002838.SZ,20171025,20171025,20170930,1,1,0.5253,0.5253,653752861.71,653752861.71,,,,,,,,,,,,,,,,-3111669.42,-4792234.8,,575414056.68,518661980.93,,,2867082.13,20572434.86,33241098.16,1343102.08,-1271641.48,,,,,,,,,,,79318815.61,1279206.61,42171.52,35740.73,80555850.7,12274123.83,68281726.87,66191375.6,2090351.27,,68281726.87,66191375.6,2090351.27,82501945.63,,,,
8,002838.SZ,20170810,20170810,20170630,1,1,0.37,0.37,449621281.37,449621281.37,,,,,,,,,,,,,,,,-3122533.24,-3877094.84,,392903351.87,355762104.72,,,2074099.41,12847855.63,21932612.85,1257088.15,-970408.89,,,,,,,,,,,56323182.93,935671.67,38434.45,38434.45,57220420.15,8588953.85,48631466.3,46960409.54,1671056.76,,48631466.3,46960409.54,1671056.76,60702804.32,69818106.39,,,
9,002838.SZ,20170427,20170427,20170331,1,1,0.26,0.26,200735691.84,200735691.84,,,,,,,,,,,,,,,,-2206722.71,-2206722.71,,173152803.32,155486477.18,,,544599.54,6809899.29,10617683.41,851698.14,-1157554.24,,,,,,,,,,,25376165.81,1905897.5,36734.48,5430.79,27245328.83,4132873.46,23112455.37,22137075.36,975380.01,,23112455.37,22137075.36,975380.01,,,,,
10,002838.SZ,20170425,20170425,20161231,1,1,1.26,1.26,799684968.59,799684968.59,,,,,,,,,,,,,,,,-8759681.77,-8759681.77,,701493695.5,604720906.99,,,4299987.95,29819657.22,53930563.62,4192811.51,4529768.21,,,,,,,,,,,89431591.32,5668643.62,70462.48,67587.95,95029772.46,13502700.48,81527071.98,79320964.31,2206107.67,,81527071.98,79320964.31,2206107.67,102384084.6,119051366.47,,,
