,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,total_share,cap_rese,undistr_porfit,surplus_rese,special_rese,money_cap,trad_asset,notes_receiv,accounts_receiv,oth_receiv,prepayment,div_receiv,int_receiv,inventories,amor_exp,nca_within_1y,sett_rsrv,loanto_oth_bank_fi,premium_receiv,reinsur_receiv,reinsur_res_receiv,pur_resale_fa,oth_cur_assets,total_cur_assets,fa_avail_for_sale,htm_invest,lt_eqt_invest,invest_real_estate,time_deposits,oth_assets,lt_rec,fix_assets,cip,const_materials,fixed_assets_disp,produc_bio_assets,oil_and_gas_assets,intan_assets,r_and_d,goodwill,lt_amor_exp,defer_tax_assets,decr_in_disbur,oth_nca,total_nca,cash_reser_cb,depos_in_oth_bfi,prec_metals,deriv_assets,rr_reins_une_prem,rr_reins_outstd_cla,rr_reins_lins_liab,rr_reins_lthins_liab,refund_depos,ph_pledge_loans,refund_cap_depos,indep_acct_assets,client_depos,client_prov,transac_seat_fee,invest_as_receiv,total_assets,lt_borr,st_borr,cb_borr,depos_ib_deposits,loan_oth_bank,trading_fl,notes_payable,acct_payable,adv_receipts,sold_for_repur_fa,comm_payable,payroll_payable,taxes_payable,int_payable,div_payable,oth_payable,acc_exp,deferred_inc,st_bonds_payable,payable_to_reinsurer,rsrv_insur_cont,acting_trading_sec,acting_uw_sec,non_cur_liab_due_1y,oth_cur_liab,total_cur_liab,bond_payable,lt_payable,specific_payables,estimated_liab,defer_tax_liab,defer_inc_non_cur_liab,oth_ncl,total_ncl,depos_oth_bfi,deriv_liab,depos,agency_bus_liab,oth_liab,prem_receiv_adva,depos_received,ph_invest,reser_une_prem,reser_outstd_claims,reser_lins_liab,reser_lthins_liab,indept_acc_liab,pledge_borr,indem_payable,policy_div_payable,total_liab,treasury_share,ordin_risk_reser,forex_differ,invest_loss_unconf,minority_int,total_hldr_eqy_exc_min_int,total_hldr_eqy_inc_min_int,total_liab_hldr_eqy,lt_payroll_payable,oth_comp_income,oth_eqt_tools,oth_eqt_tools_p_shr,lending_funds,acc_receivable,st_fin_payable,payables,hfs_assets,hfs_sales
0,000776.SZ,20190430,20190430,20190331,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322311836878.95,,,,,,,,,,,,,,,,,,
1,000776.SZ,20190430,20190430,20190331,1,4,7621087664.0,31864816413.52,28911104072.21,5751819837.74,,84058520886.12,92122038740.56,,,,,,,,,,21084695854.46,,,,,27043491049.12,,,,,6398634512.52,47824278.06,,5508219806.1,,1927996054.59,766267343.4,,,,,544100491.38,,2226006.65,,450802083.58,,,,,,,14497006146.17,,,,,7252444737.8,,,,66122085459.71,18556547404.25,,,414910144634.96,4389380409.92,5275618594.39,,,2496056775.03,1869672643.84,,,,68054481917.13,,5562630632.2,1251998313.06,,,,,,,,,88769933842.27,12920000.0,,,,95428251130.48,,,33360000.0,225976488.84,,,,,16631387423.23,,,2884669598.69,,,,,,,,,,,,322311836878.95,,13106319296.45,,,3814089360.51,88784218395.5,92598307756.01,414910144634.96,,1529071111.58,,,50958846165.32,4399230692.88,19397339324.57,9460277526.35,,
2,000776.SZ,20190327,20190327,20181231,1,4,7621087664.0,31864816413.52,26035215406.08,5751819837.74,,60436038452.97,88285110841.97,,,,,,,,,,17899886594.26,,,,,36813068427.57,,,,,5249003748.05,20065908.96,,5745250679.33,,883557231.56,1429391564.14,,,,,560264917.6,,2273754.98,,1085525670.41,,,,,,,17536655451.25,,,,,6284998135.55,,,,39515213771.1,15734443129.75,,,389105946354.41,5472645877.86,5504514625.36,,,11667618950.08,1933862278.3,,,,85993800443.45,,5093451427.43,916062464.45,,,,,,,,,58445148318.66,,,,,68697053762.11,,,33360000.0,138467224.5,,,,,19879028074.45,,,2411520298.53,,,,,,,,,,,,300476771768.12,,13063057982.07,,,3611157677.91,85018016908.38,88629174586.29,389105946354.41,,682019604.97,,,45355306230.74,4283667847.6,24049740113.17,10200861935.69,,
3,000776.SZ,20181027,20181027,20180930,1,4,7621087664.0,31864816413.52,27233186689.69,5360597212.09,,56972199370.76,90808214741.09,,,,,,3207710644.87,,,,17655428586.2,,,,,33345852701.2,,,,,4800244170.11,20499972.74,,6022147709.15,,2170704579.7,,,,,,548145564.89,,2283616.05,,791231267.37,,,,,,,18684722501.78,,,,,5725235271.75,,,,44454410089.99,14426307641.95,,,392531913925.05,5428739664.92,5991265749.22,,,6154453394.29,2800873085.54,,,,85741879198.91,,5067941795.78,886726891.1,1647265464.26,,,,,,,,60758417032.35,,,,,65488862866.4,,,33360000.0,81717626.89,,,,,21874672346.59,,,2420126079.27,,,,,,,,,,,,303155811115.96,,12069866256.88,,,3485384046.22,85890718762.87,89376102809.09,392531913925.05,,1741164526.69,,,50143885361.69,5687243370.95,27963860000.0,10815649920.44,,
4,000776.SZ,20180830,20180830,20180630,1,4,7621087664.0,31864816413.52,26008771580.42,5360597212.09,,62952271183.53,72338355387.93,,,,,,3189428114.61,,,,18903731802.4,,,,,38539123098.17,,,,,4743014432.93,20934036.56,,5601483624.57,,2099592150.07,,,,,,562933865.01,,2187859.88,,853389803.29,,,,,,,19716133728.57,,,,,6970588231.18,,,,46328096185.45,15241465657.93,,,390471033847.79,5460734889.95,7578697432.32,,,16443937222.51,3025107416.58,,,,65842067487.02,,4785315256.21,925125030.56,2280400247.75,,,,,,,,63974733944.04,,,,,69519070957.25,,,33360000.0,101939667.16,,,,,21118411763.73,,,5129413989.34,,,,,,,,,,,,302430142943.77,,12038873975.93,,,3929693335.28,84111197568.74,88040890904.02,390471033847.79,,1217050722.78,,,55329067530.95,5372138817.25,25523240000.0,10688587639.35,,
5,000776.SZ,20180425,20180425,20180331,1,4,7621087664.0,31864816413.52,27748666006.74,5360597212.09,,62802025455.8,84770732384.07,,,,,,3311669129.31,,,,17213273217.01,,,,,40249445514.76,,,,,4691844710.38,21368100.38,,5026256152.65,,2057797053.71,,,,,,579730233.41,,2079388.12,,502219600.54,,,,,,,6020252483.96,,,,,6861528896.34,,,,52011920816.86,13309616735.46,,,387840327580.97,4905745521.41,8649815970.61,,,18646946277.58,3067725963.88,,,,71713471223.49,,5564434533.58,1394664045.53,2776207631.8,,,,,,,,67993273847.04,,,,,72804923150.53,,,33360000.0,138593678.08,,,,,6431162242.67,,,2024772935.47,,,,,,,,,,,,297987342505.96,,12015455622.14,,,3746977163.84,86106007911.17,89852985075.01,387840327580.97,,1495384992.68,,,61310726487.63,3469668171.07,21023577000.0,10818668484.29,,
6,000776.SZ,20180324,20180324,20171231,1,4,7621087664.0,31864816413.52,25767855022.98,5360597212.09,,56910758509.16,63238922628.55,,,,,,2934832055.76,,,,17652948318.56,,,,,33667402360.98,,,92594399160.08,,4336479926.7,21802164.2,,7098611107.17,,2013367878.84,,,,,,593086353.96,,2169175.75,,428495855.91,,,,,,,5450741845.31,,,,,4700753337.46,,,,48356454197.43,14313291768.94,,,356904638176.67,4525492111.8,7349536364.33,,,4953655549.04,4853999224.14,,,,55516408036.08,,7050313008.23,1188593136.25,1939204420.19,,,,,,,,65026117190.86,53999996.8,,,,72672720280.85,,,33360000.0,88441255.28,,,,,5439112526.83,,,1871042542.97,,,,,,,,,,,,268279056274.08,,11995306804.86,,,3771379376.25,84854202526.34,88625581902.59,356904638176.67,,2244539408.89,,,61750191315.06,3509676183.22,25101447000.0,10615613630.43,,
7,000776.SZ,20171028,20171028,20170930,1,4,7621087664.0,31864096343.89,25633655949.57,4754038095.07,,62710002576.67,71865671520.21,,,,,,3136199486.24,,,,16880567948.14,2000000000.0,,,,29015216278.79,,,93818917773.4,,4020801226.38,22236227.98,,6532806782.61,,1835207756.62,,,,,,538485704.31,,2204987.0,,403541451.77,,,,,,,448022235.54,,,,,6221052674.11,,,,54418479461.94,11653674086.99,,,362411416940.21,4154254566.68,4546115883.0,,,13229025389.59,1961036154.85,,,,60837570887.61,,6273241570.74,692327240.13,1365352209.12,,,,,,,,67401033759.68,918000000.0,,,,64531100523.74,,,33360000.0,416338959.4,,,,,411861917.87,,,2030925382.14,,,,,,,,,,,,275097884238.57,,10507901803.34,,,3710936152.2,83602596549.44,87313532701.64,362411416940.21,,3221816693.57,,,60256782709.27,2703699601.17,34538538000.0,11757801794.02,,
8,000776.SZ,20170826,20170826,20170630,1,4,7621087664.0,31864096343.89,23587066535.05,4754038095.07,,70335694353.65,76810290877.17,,,,,,2914161750.11,,,,18616183040.94,,,,,25313027709.1,,,88211260145.22,,3969111314.53,22670291.8,,5046832099.01,,1753414495.93,,,,,,545172955.67,,2252216.33,,665015753.0,,,,,,,515443697.6,,,,,6554418550.45,,,,60800049968.12,13499206586.07,,,358328394776.79,3267626493.9,5606703948.83,,,10952921361.15,1444655905.68,,,,78372005694.05,,5755005326.22,1159960999.58,1212300440.08,,,,,,,,76557883833.09,48100000.0,,,,52002620520.98,,,33360000.0,264631468.74,,,,,539966587.77,,,4039143302.46,,,,,,,,,,,,274451330050.44,,10488682070.97,,,3102563457.51,80774501268.84,83877064726.35,358328394776.79,,2459530559.86,,,54297584442.69,2755861083.59,21042836000.0,12151608167.91,,
9,000776.SZ,20170428,20170428,20170331,1,4,7621087664.0,31864053298.29,24107606099.07,4754038095.07,,70151023892.24,69429441872.37,,,,,,2954988449.66,,,,17096663642.79,,,,,23353872511.88,,,88959036149.37,,3999902721.96,23104355.62,,5650579525.16,,1650866930.12,,,,,,557282019.66,,2303857.19,,838402504.69,,,,,,,706249112.32,,,,,5164989940.11,,,,61202769680.2,13324436633.19,,,354935132261.21,3141120000.0,4906911328.7,,,10584793560.93,1543223996.05,,,,58575689486.26,,7008399176.34,1249824795.29,2715786992.07,,,,,,,,77882312793.54,,,,,73450323464.46,,,33360000.0,214725489.99,,,,,715041478.74,,,1688452107.06,,,,,,,,,,,,270486889387.44,,10472623271.47,,,3021262409.62,81426980464.15,84448242873.77,354935132261.21,,2607572036.25,,,57864507262.36,6531917513.71,13197848000.0,13579076718.01,,
